draw,K_per_class,f1_mean,lift_mean
0,0,0.8166,0.0
0,5,0.8271,1.0503
0,10,0.8378,2.1259
0,20,0.8524,3.5778
1,0,0.8184,0.0
1,5,0.8393,2.0932
1,10,0.8493,3.0957
1,20,0.8578,3.9474
2,0,0.8171,0.0
2,5,0.8265,0.9356
2,10,0.8409,2.371
2,20,0.8502,3.3025
3,0,0.8174,0.0
3,5,0.8269,0.9515
3,10,0.8433,2.5969
3,20,0.854,3.6624
4,0,0.8185,0.0
4,5,0.8317,1.3233
4,10,0.8433,2.4812
4,20,0.8547,3.6217
