comparison,n,mean_diff,wilcoxon_W,wilcoxon_p,cohens_d_paired
rung4_vs_rung3,40,-0.120535,0.0,1.8189894035458565e-12,-2.1282
rung3_vs_rung0,40,0.067978,37.0,1.0437361197546124e-08,1.1294
