rung,name,subject,n_test,f1_macro,bal_acc,acc,best_params,fit_time_sec
2,scale_only,1,410,0.22591197462331483,0.2765957446808511,0.5170731707317073,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.53
2,scale_only,2,300,0.7302880106798492,0.6954018081366148,0.8466666666666667,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.87
2,scale_only,3,337,0.8400498333239947,0.8108974358974359,0.9080118694362018,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.99
2,scale_only,4,321,0.728323986096933,0.7665920705434384,0.7663551401869159,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.69
2,scale_only,5,423,0.6784033684590874,0.7367191653375864,0.7186761229314421,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.68
2,scale_only,6,331,0.7085361441502362,0.7111312407691139,0.8066465256797583,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.97
2,scale_only,7,339,0.5916429162554295,0.6297428787985986,0.6932153392330384,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.5
2,scale_only,8,335,0.6958732799693477,0.715303049185776,0.8477611940298507,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.29
2,scale_only,9,344,0.7613298949436627,0.7581961675705033,0.8081395348837209,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.94
2,scale_only,10,298,0.6864609548820075,0.7115577833729086,0.8154362416107382,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.86
2,scale_only,11,298,0.8769390698960237,0.905050505050505,0.8993288590604027,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.89
2,scale_only,12,289,0.8025008658962813,0.7958387994434506,0.8788927335640139,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.69
2,scale_only,13,452,0.8416999003479013,0.8386348761103319,0.911504424778761,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.89
2,scale_only,14,455,0.7244004240077575,0.7726749639249639,0.8483516483516483,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.31
2,scale_only,15,359,0.8228082871430662,0.8389442489773701,0.8969359331476323,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.71
2,scale_only,16,396,0.8487421383647797,0.8688663201129508,0.9065656565656566,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.23
2,scale_only,17,422,0.773812084408785,0.7818068353197585,0.8672985781990521,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.7
2,scale_only,18,364,0.7523123850523197,0.7831752314059317,0.8598901098901099,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.35
2,scale_only,19,425,0.7871118307357914,0.8105586456070871,0.8635294117647059,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.4
2,scale_only,20,342,0.7328664501044626,0.76319743130227,0.8508771929824561,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.13
2,scale_only,21,353,0.6985756159169574,0.7121487806431359,0.830028328611898,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.38
2,scale_only,22,424,0.6751816572911014,0.6945035124017104,0.7617924528301887,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.91
2,scale_only,23,412,0.6349147182357036,0.6761007080774523,0.7402912621359223,"{'clf__C': 1, 'clf__gamma': 'scale'}",38.63
2,scale_only,24,384,0.8216811452968179,0.843068597119699,0.9010416666666666,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.54
2,scale_only,25,355,0.7443277366675884,0.8081456745725946,0.7830985915492957,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.76
2,scale_only,26,467,0.7161639721991387,0.7533864937820383,0.7944325481798715,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.68
2,scale_only,27,402,0.8547920393335593,0.845665352884198,0.9253731343283582,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.03
2,scale_only,28,419,0.7743747824548132,0.7753034547152194,0.8663484486873508,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.52
2,scale_only,29,440,0.7874211718394557,0.7952239003709591,0.8795454545454545,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.4
2,scale_only,30,377,0.6974330728431096,0.6994479880305535,0.8647214854111406,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.91
2,scale_only,31,456,0.7392753106236252,0.772169452887538,0.8552631578947368,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.18
2,scale_only,32,396,0.7993143222556818,0.8204402485037731,0.8762626262626263,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.77
2,scale_only,33,417,0.8363286246416479,0.8561018239532655,0.8896882494004796,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.17
2,scale_only,34,369,0.8328151553380214,0.8336012362674441,0.9105691056910569,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.38
2,scale_only,35,512,0.7074530910328161,0.7292943461005462,0.794921875,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.31
2,scale_only,36,439,0.7850937086055494,0.811035532968919,0.8701594533029613,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.62
2,scale_only,37,395,0.7970044363471673,0.8035228303207589,0.8987341772151899,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.29
2,scale_only,38,387,0.7317015779020279,0.8025189393939395,0.8294573643410853,"{'clf__C': 1, 'clf__gamma': 'scale'}",40.08
2,scale_only,39,410,0.7069437461594325,0.7101010101010101,0.8975609756097561,"{'clf__C': 1, 'clf__gamma': 'scale'}",41.57
2,scale_only,40,378,0.7082820785443759,0.7468510971786834,0.8412698412698413,"{'clf__C': 1, 'clf__gamma': 'scale'}",39.52
