subject,SVM_old,SVM_new,RF_old,RF_new
156,0.86179,0.82963,0.85786,0.81259
185,0.85468,0.82509,0.86964,0.83703
186,0.86028,0.79841,0.83808,0.7785
188,0.8634,0.82223,0.87658,0.80819
189,0.89042,0.86837,0.89086,0.85211
190,0.83362,0.77953,0.83402,0.74913
191,0.85496,0.8278,0.82956,0.76744
192,0.85783,0.79664,0.84298,0.76888
193,0.83977,0.79662,0.83666,0.74953
194,0.88698,0.86989,0.88451,0.84625
