buffer,k,variant,subject,f1,crit_err,n_scored
25,1,probavg,17,0.7814991068368988,0.050505050505050504,678
25,1,probavg,18,0.7586254388885968,0.1125,615
25,1,probavg,19,0.823915898957951,0.12871287128712872,691
25,1,probavg,20,0.7390420883232034,0.0,574
25,1,probavg,21,0.8248948085613814,0.0,582
25,1,probavg,22,0.7777031429924062,0.041666666666666664,697
25,1,probavg,23,0.7315600816782416,0.06521739130434782,679
25,1,probavg,24,0.7584278379926055,0.027777777777777776,628
25,1,probavg,25,0.8867707725868809,0.012658227848101266,591
25,1,probavg,26,0.7095196817791516,0.08270676691729323,764
25,1,probavg,27,0.8639274071801303,0.0,669
25,1,probavg,28,0.8212510656958729,0.05660377358490566,675
25,1,probavg,29,0.706722161861034,0.04,711
25,1,probavg,30,0.830010958428701,0.10588235294117647,629
25,1,probavg,31,0.7092278119092362,0.05747126436781609,733
25,1,probavg,32,0.8333318379671439,0.037383177570093455,661
25,1,probavg,33,0.7800381340166004,0.0,667
25,1,probavg,34,0.8518576454770107,0.011764705882352941,607
25,1,probavg,35,0.7278067888026942,0.15135135135135136,827
25,1,probavg,36,0.7342924660818495,0.06818181818181818,709
25,1,probavg,37,0.6698011697373445,0.012987012987012988,655
25,1,probavg,38,0.8843566555034809,0.025,646
25,1,probavg,39,0.7535563479390925,0.06172839506172839,668
25,1,probavg,40,0.6391317085530588,0.04054054054054054,623
25,3,vote,1,0.6622018533887037,0.06140350877192982,665
25,3,vote,2,0.9074786894424642,0.0,495
25,3,vote,3,0.8389113753514525,0.018867924528301886,569
25,3,vote,4,0.8459890721240666,0.0,531
25,3,vote,5,0.7872479346890098,0.02702702702702703,683
25,3,vote,6,0.8370361976993397,0.045454545454545456,558
25,3,vote,7,0.7639616234350708,0.010101010101010102,575
25,3,vote,8,0.8728858532813392,0.0375,549
25,3,vote,9,0.8588681880187832,0.008333333333333333,566
25,3,vote,10,0.7580959004446549,0.0,484
25,3,vote,11,0.9716550720159458,0.0,493
25,3,vote,12,0.9321986772455616,0.027777777777777776,482
25,3,vote,13,0.9245627529200866,0.009523809523809525,727
25,3,vote,14,0.828497452204572,0.03125,750
25,3,vote,15,0.9046338203493985,0.0,585
25,3,vote,16,0.8623634726042244,0.047058823529411764,656
25,3,vote,17,0.8296262757542836,0.010101010101010102,678
25,3,vote,18,0.7992570794813669,0.1125,615
25,3,vote,19,0.8847763161879524,0.09900990099009901,691
25,3,vote,20,0.78626191968074,0.0,574
25,3,vote,21,0.8772460726934825,0.0,582
