buffer,k,variant,f1_mean,f1_se,crit_err_pooled,n_dns,crit_err_persubj_mean,crit_err_persubj_se,n
25,1,probavg,0.7860175654669809,0.010937122450513037,0.05040480543222774,3829,0.04586620883268128,0.00608388838330609,40
25,1,vote,0.7860175654669809,0.010937122450513037,0.05040480543222774,3829,0.04586620883268128,0.00608388838330609,40
25,3,probavg,0.8533896444714116,0.011286112779776755,0.01932619482893706,3829,0.016079695138884336,0.004444156288191269,40
25,3,vote,0.8317799410768603,0.011546679382695543,0.03212326978323322,3829,0.027928060287672047,0.005555830498345338,40
25,5,probavg,0.8960487414006156,0.010883983395000586,0.009924262209454165,3829,0.007955698970744433,0.0031165386824396814,40
25,5,vote,0.8772989191653988,0.011487413542000158,0.018281535648994516,3829,0.01475852952241335,0.0040402074347289174,40
25,7,probavg,0.9281987295332467,0.00974995346359231,0.005484460694698354,3829,0.003881440623233223,0.0019798865978784344,40
25,7,vote,0.9104591627898466,0.010391811708669306,0.013058239749281797,3829,0.010033958890873607,0.0033549460568253163,40
50,1,probavg,0.8113121013615586,0.010202830387675903,0.038796738824852406,3557,0.033846957772451634,0.005351749178233952,40
50,1,vote,0.8113121013615586,0.010202830387675903,0.038796738824852406,3557,0.033846957772451634,0.005351749178233952,40
50,3,probavg,0.8811663198288651,0.010222119271539242,0.013775653640708463,3557,0.010782376650921176,0.003153552572582353,40
50,3,vote,0.859005598295521,0.010191826738271117,0.024739949395558056,3557,0.02036562370094446,0.004694638264263006,40
50,5,probavg,0.921392655239788,0.008710738134363825,0.007871802080404836,3557,0.0058615326437518106,0.002324776790446286,40
50,5,vote,0.902516358431062,0.010008278320186055,0.012932246274950801,3557,0.009740681117021645,0.003415060369126979,40
50,7,probavg,0.9474791628268646,0.007201757235480086,0.005060444194545966,3557,0.003969693935699065,0.0020250914906511925,40
50,7,vote,0.9294619488505271,0.00908387936372482,0.009839752600506044,3557,0.0068705937757906205,0.0033110928539487818,40
100,1,probavg,0.8168067446977236,0.009702842566494563,0.04782321899736148,3032,0.04068318351827126,0.006451009453785275,40
100,1,vote,0.8168067446977236,0.009702842566494563,0.04782321899736148,3032,0.04068318351827126,0.006451009453785275,40
100,3,probavg,0.8844177627271119,0.009960942163782259,0.022427440633245383,3032,0.016989801512487874,0.005214712596526382,40
100,3,vote,0.8653566794845806,0.009801900473279383,0.032981530343007916,3032,0.02601280603197887,0.006207109726602639,40
100,5,probavg,0.927629746670813,0.008814079502968628,0.014511873350923483,3032,0.010232381640919044,0.003885408097036974,40
100,5,vote,0.9071887691532357,0.009639508305489134,0.01945910290237467,3032,0.014200902991228193,0.0045575334355730315,40
100,7,probavg,0.9500358902330113,0.007438404777498525,0.008905013192612138,3032,0.006331305453292307,0.003131686171523414,40
100,7,vote,0.9312328824807932,0.008957797641429538,0.015171503957783642,3032,0.010323466545732027,0.004469734305276567,40
transductive,1,vote,0.8579340556847527,0.010384915050441455,0.06610960924059965,4069,,,40
transductive,1,probavg,0.8579340556847527,0.010384915050441455,0.06610960924059965,4069,,,40
transductive,5,vote,0.9325731208779942,0.009882154990721054,0.034898009338903906,4069,,,40
transductive,5,probavg,0.9469066111759273,0.008650025771893898,0.0231014991398378,4069,,,40
