subject,f1_macro,bal_acc,acc
1,0.5760572290196426,0.5540227299936881,0.6811594202898551
2,0.8068558520194964,0.7924189855731614,0.8769230769230769
3,0.7517799424560468,0.7508777224839094,0.8484848484848485
4,0.7602860224550443,0.7359934663103219,0.8381294964028777
5,0.6587578029266298,0.6582319301560338,0.7330508474576272
6,0.7206240814419026,0.7126709459257264,0.7924528301886793
7,0.7274369134492782,0.7129649792522008,0.805
8,0.7761180463393054,0.7719315568152778,0.8501742160278746
9,0.7125743060317937,0.7057993879900191,0.7597292724196277
10,0.7134674209449343,0.6975787370524212,0.8369351669941061
11,0.8526920341335635,0.8489466470960192,0.888030888030888
12,0.7153909050073972,0.6925574425574426,0.8067061143984221
13,0.8456820956820956,0.8472719918259265,0.9082446808510638
14,0.7546882676072485,0.7377708194986675,0.8464516129032258
15,0.7564012172707825,0.7536926557359331,0.8524590163934426
16,0.8201453636032021,0.8317966755466756,0.8751835535976505
17,0.7381980163219366,0.7271680216802168,0.8392603129445235
18,0.7667360209161522,0.7695802017749693,0.853125
19,0.7138094203970855,0.702811410408241,0.8016759776536313
20,0.6516756233513276,0.672129379575688,0.7813021702838063
21,0.7845092992151815,0.7836676359781771,0.8698517298187809
22,0.7187916238266597,0.7154769694129787,0.7908587257617729
23,0.6829660452083514,0.684286128456377,0.7571022727272727
24,0.7426161933112007,0.7461967081877146,0.8177641653905053
25,0.7584864335887368,0.7811553510711252,0.8327922077922078
26,0.7064774920023629,0.704886145258337,0.8035487959442332
27,0.8362804001405252,0.8330127330239727,0.9063400576368876
28,0.7579627156694825,0.7421870222539282,0.8442857142857143
29,0.7554367555226105,0.7453138386137043,0.8491847826086957
30,0.7729674920364612,0.7602741869659163,0.8746177370030581
31,0.6914982515454995,0.6735833491812852,0.8153034300791556
32,0.7668850397341209,0.7659998700315624,0.8629737609329446
33,0.8017464857139436,0.7901419497018408,0.8858381502890174
34,0.8345960214706628,0.8325763709329885,0.8813291139240507
35,0.6926916863991452,0.6943002542910749,0.7769953051643192
36,0.7271319602664668,0.7200229055305174,0.829700272479564
37,0.7746309303439203,0.7487920034568654,0.8735294117647059
38,0.7492262767853319,0.7237224411050289,0.8643815201192251
39,0.7150843402924364,0.7101984126984127,0.8744588744588745
40,0.7746463063336135,0.7592511815295848,0.8842592592592593
