subject,arch,f1_macro,bal_acc
1,resnet_se,0.6459517592183674,0.6452361758659595
2,resnet_se,0.871528913288442,0.8752703851742424
3,resnet_se,0.9125878970889976,0.9245665902464204
4,resnet_se,0.8822798612067351,0.8815599373061889
5,resnet_se,0.6560416850897812,0.6673704942754873
6,resnet_se,0.8034369730798302,0.8228504133197103
7,resnet_se,0.8025031679813759,0.8064984056520766
8,resnet_se,0.8041774943628918,0.8197176854153597
9,resnet_se,0.8205965825553186,0.812388816995193
10,resnet_se,0.8107203264004597,0.8169297807455702
11,resnet_se,0.9105483046504481,0.9311995891308515
12,resnet_se,0.9126217657603408,0.9219842657342657
13,resnet_se,0.9303113564735046,0.938576843697572
14,resnet_se,0.8258604529218432,0.8351849126743498
15,resnet_se,0.8905101830239927,0.9024531193603117
16,resnet_se,0.8542836069607713,0.8793595293595293
17,resnet_se,0.8781659270173563,0.8717250906275296
18,resnet_se,0.9114871884804641,0.912680705921985
19,resnet_se,0.8465288370920727,0.8619206946749122
20,resnet_se,0.8468995477988159,0.8611685437257395
21,resnet_se,0.8564549979715992,0.865596399014366
22,resnet_se,0.8039063207601524,0.8215901366793672
23,resnet_se,0.825809797044826,0.8425337091244817
24,resnet_se,0.7772782388830823,0.8246480366631823
25,resnet_se,0.8874746515051373,0.9169521461505198
26,resnet_se,0.7983397075616313,0.8185349742271023
27,resnet_se,0.85763529903342,0.8572062814110695
28,resnet_se,0.7290181596279697,0.7765977313953815
29,resnet_se,0.8623510424189031,0.8654721149160411
30,resnet_se,0.8249925212731779,0.8282391167729514
31,resnet_se,0.7982165703797586,0.8149175690394412
32,resnet_se,0.8544701635224214,0.8667327640744686
33,resnet_se,0.922382415418719,0.9272044334975369
34,resnet_se,0.8871784812734432,0.9042162586188321
35,resnet_se,0.7405274381959591,0.7440310973647247
36,resnet_se,0.711062864336769,0.743443792288253
37,resnet_se,0.8619342572599179,0.8536978189171047
38,resnet_se,0.8849637660673146,0.8962456271864068
39,resnet_se,0.8481107519980998,0.8584163059163058
40,resnet_se,0.8572765111001703,0.8583920689415225
