subject,f1_macro,bal_acc,acc,best_shrinkage
1,0.6282966052295673,0.6040807015270652,0.6985507246376812,auto
2,0.8055178654758266,0.810374516791753,0.8653846153846154,0.0
3,0.670069868852729,0.6773209945536673,0.7929292929292929,0.0
4,0.6886813577664147,0.6816834706455323,0.8075539568345323,0.0
5,0.5136992252751462,0.5222202240114634,0.6129943502824858,auto
6,0.6406456636892148,0.6473125668856883,0.7238421955403087,0.0
7,0.6870990734141126,0.6878783299085395,0.775,0.0
8,0.6162587908348458,0.6167800223032781,0.7439024390243902,0.0
9,0.6686325240419511,0.6651254930279004,0.7208121827411168,0.0
10,0.6056668523649655,0.6081040669856459,0.7779960707269156,auto
11,0.7269045417190112,0.7320314847082857,0.806949806949807,0.0
12,0.7096721632425422,0.710477022977023,0.7751479289940828,auto
13,0.8170116687789827,0.8158275632806429,0.8949468085106383,0.0
14,0.6728954355783858,0.685102812605832,0.7961290322580645,auto
15,0.7427349925684301,0.7569758506165425,0.8475409836065574,auto
16,0.7386057534957852,0.7532620157620158,0.8252569750367107,0.0
17,0.6052311441491034,0.603167564143174,0.7524893314366998,0.0
18,0.6752071193541258,0.6918496474455776,0.7828125,0.0
19,0.6830778210973809,0.6818408509799625,0.7946927374301676,0.0
20,0.607502565107308,0.625587132756888,0.7378964941569283,0.0
21,0.6937425854958335,0.7075188922486891,0.8072487644151565,auto
22,0.6272431887581468,0.6425421916165471,0.721606648199446,auto
23,0.5027908335224249,0.49808309431970077,0.6335227272727273,0.0
24,0.6748796597530158,0.6872322322898907,0.7978560490045942,0.0
25,0.723625892598134,0.7378502037668316,0.8133116883116883,auto
26,0.6588193475775259,0.6746654435713302,0.7769328263624842,0.0
27,0.7919905204274535,0.7945851196497481,0.8804034582132565,0.0
28,0.6867674817214823,0.6909620921941417,0.8,0.0
29,0.6571492167884089,0.6631478465273105,0.7730978260869565,0.0
30,0.7690760639490437,0.7867721251179898,0.863914373088685,0.0
31,0.6517804034950077,0.6556924642508625,0.7810026385224275,0.0
32,0.6344415549821013,0.6632023897711514,0.7857142857142857,0.0
33,0.7708560015868849,0.7837911589318124,0.8554913294797688,0.0
34,0.8081231018638908,0.8149054554514114,0.8765822784810127,0.0
35,0.7106721149720095,0.7234891727519595,0.795774647887324,0.0
36,0.7042447952374423,0.708789551526162,0.8065395095367848,0.0
37,0.7510100092767213,0.7548038576418824,0.8529411764705882,auto
38,0.784368244626651,0.7987657334123636,0.8718330849478391,auto
39,0.6508025621864907,0.6694931457431458,0.834054834054834,0.0
40,0.739945371746684,0.7521320896476758,0.8503086419753086,auto
