backbone,arm,subject,channel,threshold,censored
resnet,noaug,14,7,0.6952912248735064,False
resnet,noaug,14,8,0.6622758853842541,False
resnet,noaug,15,0,0.2467668946466795,False
resnet,noaug,15,1,0.7572597382996193,False
resnet,noaug,15,2,0.6264866030870312,False
resnet,noaug,15,3,0.5317621399580746,False
resnet,noaug,15,4,0.41491484778655463,False
resnet,noaug,15,5,0.6112936832411271,False
resnet,noaug,15,6,0.8542978804691999,False
resnet,noaug,15,7,0.440157229860085,False
resnet,noaug,15,8,0.38080796738137646,False
resnet,noaug,16,0,0.25782630379790344,False
resnet,noaug,16,1,0.4736565408431113,False
resnet,noaug,16,2,0.42782288549169817,False
resnet,noaug,16,3,0.49261291202640584,False
resnet,noaug,16,4,0.8040360235249109,False
resnet,noaug,16,5,0.9272893257654307,False
resnet,noaug,16,6,0.22049982741748653,False
resnet,noaug,16,7,0.23533531310427047,False
resnet,noaug,16,8,0.31066507504134266,False
resnet,noaug,17,0,0.787075193180393,False
resnet,noaug,17,1,0.4530121829800797,False
resnet,noaug,17,2,0.43634582037192504,False
resnet,noaug,17,3,0.7947125896866133,False
resnet,noaug,17,4,0.4157043092865219,False
resnet,noaug,17,5,0.8922324614251687,False
resnet,noaug,17,6,,True
resnet,noaug,17,7,0.4963943799462375,False
resnet,noaug,17,8,0.8104201356890325,False
resnet,noaug,18,0,0.6778807719430416,False
resnet,noaug,18,1,0.7026380374075624,False
resnet,noaug,18,2,,True
resnet,noaug,18,3,0.7770956804951855,False
resnet,noaug,18,4,0.4860433549138268,False
resnet,noaug,18,5,0.6687784019458385,False
resnet,noaug,18,6,,True
resnet,noaug,18,7,0.8227829084503816,False
resnet,noaug,18,8,0.41684702801950096,False
resnet,noaug,19,0,0.8609722966542874,False
resnet,noaug,19,1,0.683098669834028,False
resnet,noaug,19,2,0.4346772783876016,False
resnet,noaug,19,3,0.7986536280036212,False
resnet,noaug,19,4,0.807287035020484,False
resnet,noaug,19,5,0.9611278241722231,False
resnet,noaug,19,6,0.3791047467755946,False
resnet,noaug,19,7,0.7535831563435113,False
resnet,noaug,19,8,0.8230691155914146,False
resnet,noaug,20,0,0.6263508545731897,False
resnet,noaug,20,1,0.8303924035463266,False
resnet,noaug,20,2,0.24955592640357768,False
resnet,noaug,20,3,0.003242419537505453,False
resnet,noaug,20,4,0.20076803474144894,False
resnet,noaug,20,5,0.3883029567633751,False
resnet,noaug,20,6,0.49870251967705154,False
resnet,noaug,20,7,0.7401500462298781,False
resnet,noaug,20,8,0.32342790718661807,False
resnet,noaug,21,0,0.822006249342759,False
resnet,noaug,21,1,0.7815415524416455,False
resnet,noaug,21,2,,True
resnet,noaug,21,3,0.7483296734071692,False
resnet,noaug,21,4,0.49261874981397336,False
resnet,noaug,21,5,0.7325796167750771,False
resnet,noaug,21,6,,True
resnet,noaug,21,7,,True
resnet,noaug,21,8,0.5829840227544405,False
resnet,noaug,22,0,0.43772623252110443,False
resnet,noaug,22,1,0.7888921558523048,False
resnet,noaug,22,2,0.8511762312159245,False
resnet,noaug,22,3,0.8544452665440663,False
resnet,noaug,22,4,0.8393411463698116,False
resnet,noaug,22,5,0.8843469560807244,False
resnet,noaug,22,6,0.4504089147313616,False
resnet,noaug,22,7,0.8588274465326452,False
resnet,noaug,22,8,0.6961623430134841,False
resnet,noaug,23,0,0.7146591304491393,False
resnet,noaug,23,1,0.8023097838827501,False
resnet,noaug,23,2,0.6644116012808748,False
resnet,noaug,23,3,0.5571206081605173,False
resnet,noaug,23,4,0.6273442046916821,False
resnet,noaug,23,5,0.7985939090770373,False
resnet,noaug,23,6,0.8852089681964663,False
resnet,noaug,23,7,0.671395073341742,False
resnet,noaug,23,8,0.900215002825437,False
resnet,noaug,24,0,0.9042028831495634,False
resnet,noaug,24,1,0.9100744398401974,False
resnet,noaug,24,2,0.8179045136616026,False
resnet,noaug,24,3,,True
resnet,noaug,24,4,0.35156792841025447,False
resnet,noaug,24,5,0.9336854614046636,False
resnet,noaug,24,6,0.5756071385547761,False
resnet,noaug,24,7,0.5116662241438424,False
resnet,noaug,24,8,0.6279639214690251,False
resnet,noaug,25,0,0.8227105643561466,False
resnet,noaug,25,1,0.276095255148353,False
resnet,noaug,25,2,0.4897764874095754,False
resnet,noaug,25,3,0.6691055945794155,False
resnet,noaug,25,4,0.7075763686325885,False
resnet,noaug,25,5,0.9595386718889578,False
resnet,noaug,25,6,0.815728110626328,False
resnet,noaug,25,7,0.3591141052670149,False
resnet,noaug,25,8,0.08023630993170994,False
resnet,noaug,26,0,0.4967384755387167,False
resnet,noaug,26,1,0.3939150076459989,False
resnet,noaug,26,2,0.684053213612687,False
resnet,noaug,26,3,0.8425413277377729,False
resnet,noaug,26,4,0.8416194201779541,False
resnet,noaug,26,5,0.9045373018879229,False
resnet,noaug,26,6,,True
resnet,noaug,26,7,0.7165468647910163,False
resnet,noaug,26,8,0.8141168410072553,False
resnet,noaug,27,0,0.2289613095860489,False
resnet,noaug,27,1,0.7967005524310422,False
resnet,noaug,27,2,0.7811937210266879,False
