subject,block,block_width,feature_channel,gate_mean,gate_sd
1,0,32,0,0.5459275245666504,0.09582784026861191
1,0,32,1,0.4575518071651459,0.08765340596437454
1,0,32,2,0.40118408203125,0.08725757151842117
1,0,32,3,0.3675975799560547,0.09310045838356018
1,0,32,4,0.5124673247337341,0.050644975155591965
1,0,32,5,0.4566560983657837,0.09453468024730682
1,0,32,6,0.5613512396812439,0.06093479320406914
1,0,32,7,0.392836332321167,0.08069232106208801
1,0,32,8,0.48494091629981995,0.05249810591340065
1,0,32,9,0.4609973728656769,0.10902056843042374
1,0,32,10,0.5405334234237671,0.09615616500377655
1,0,32,11,0.4291022717952728,0.03723246231675148
1,0,32,12,0.5003150701522827,0.038336727768182755
1,0,32,13,0.3230077922344208,0.05103754624724388
1,0,32,14,0.4827919900417328,0.09434512257575989
1,0,32,15,0.4710719585418701,0.051582105457782745
1,0,32,16,0.42810508608818054,0.051590483635663986
1,0,32,17,0.487748920917511,0.09349830448627472
1,0,32,18,0.510979950428009,0.08935060352087021
1,0,32,19,0.4225967526435852,0.047869425266981125
1,0,32,20,0.44244885444641113,0.061285410076379776
1,0,32,21,0.476551353931427,0.09628467261791229
1,0,32,22,0.47553542256355286,0.0608617439866066
1,0,32,23,0.3826843202114105,0.062193613499403
1,0,32,24,0.6262034773826599,0.02684127353131771
1,0,32,25,0.3797396123409271,0.06553912907838821
1,0,32,26,0.5665473937988281,0.0612407922744751
1,0,32,27,0.48813918232917786,0.021447211503982544
1,0,32,28,0.41530680656433105,0.02216208167374134
1,0,32,29,0.3905015289783478,0.0855548232793808
1,0,32,30,0.5516290068626404,0.0490516796708107
1,0,32,31,0.5018563270568848,0.07409442216157913
1,1,32,0,0.569054365158081,0.04053941369056702
1,1,32,1,0.47787585854530334,0.03595077618956566
1,1,32,2,0.6225832104682922,0.04537782445549965
1,1,32,3,0.4392434060573578,0.0445902943611145
1,1,32,4,0.5141251087188721,0.049081381410360336
1,1,32,5,0.5388282537460327,0.027721736580133438
1,1,32,6,0.5259935259819031,0.040344394743442535
1,1,32,7,0.582202136516571,0.01925867237150669
1,1,32,8,0.43857651948928833,0.04235541820526123
1,1,32,9,0.5251258015632629,0.05146677792072296
1,1,32,10,0.5151388645172119,0.06635759770870209
1,1,32,11,0.4015343189239502,0.03602515533566475
1,1,32,12,0.35859835147857666,0.040222447365522385
1,1,32,13,0.5544506907463074,0.05063224583864212
1,1,32,14,0.41735273599624634,0.05266718193888664
1,1,32,15,0.6024793386459351,0.0356936939060688
1,1,32,16,0.44174182415008545,0.03399600833654404
1,1,32,17,0.5701462030410767,0.04772360622882843
1,1,32,18,0.4113813638687134,0.033097926527261734
1,1,32,19,0.35409170389175415,0.045114271342754364
1,1,32,20,0.6143094897270203,0.034547846764326096
1,1,32,21,0.6199748516082764,0.02284429408609867
1,1,32,22,0.4103885293006897,0.048608507961034775
1,1,32,23,0.5554455518722534,0.04717562720179558
1,1,32,24,0.499981552362442,0.042691539973020554
1,1,32,25,0.5025261044502258,0.05522470921278
1,1,32,26,0.6054022908210754,0.0550587996840477
1,1,32,27,0.5248978137969971,0.05364634469151497
