contrast,mean_diff_pp,cohen_dz,bca_lo_pp,bca_hi_pp,n_improved,W,p,p_holm,sig_holm_0.05,diff_in_nondet_units,bca_clears_0.5pp_band
per-subject norm vs Deep CORAL (lambda=1),1.3777650070298635,0.3771469442920086,0.15212928487499727,2.4043665926742324,29,220.0,0.009781997654499719,0.024791288280539447,Yes,2.755530014059727,No
per-subject norm vs AdaBN,2.1285933350749597,0.4656713145592392,0.8126047183609908,3.6060521996351325,28,216.0,0.008263762760179816,0.024791288280539447,Yes,4.2571866701499195,Yes
Deep CORAL (lambda=1) vs AdaBN,0.7508283280450961,0.17204578295333084,-0.5032638894207716,2.1915414922336627,20,353.0,0.45173393898585346,0.45173393898585346,No,1.5016566560901923,No
