subject,arch,coral_lambda,f1_macro,bal_acc
1,resnet_se,1.0,0.6714506701214363,0.6671942497694588
2,resnet_se,1.0,0.8382800687599066,0.8464188809375882
3,resnet_se,1.0,0.9195949958137626,0.9228159388141995
4,resnet_se,1.0,0.8720330463473734,0.8821744318419183
5,resnet_se,1.0,0.7576872856844741,0.7661456687764097
6,resnet_se,1.0,0.8041762295478321,0.8203574741684088
7,resnet_se,1.0,0.845332749828815,0.8606635315046718
8,resnet_se,1.0,0.8534096581585617,0.8654748352422772
9,resnet_se,1.0,0.8118245734741045,0.8113258095190431
10,resnet_se,1.0,0.7162496165117697,0.748443990220306
11,resnet_se,1.0,0.9167794067107568,0.9360546261405482
12,resnet_se,1.0,0.9030663238766706,0.9174263236763237
13,resnet_se,1.0,0.902045587147196,0.914307311523465
14,resnet_se,1.0,0.7825126908259484,0.8000142183278534
15,resnet_se,1.0,0.8811138164820109,0.8999416156951421
16,resnet_se,1.0,0.8729534528066846,0.8901369463869464
17,resnet_se,1.0,0.7966159469921155,0.7999771231478549
18,resnet_se,1.0,0.8990174623638478,0.9036033007689984
19,resnet_se,1.0,0.8352489338893976,0.8544099284745996
20,resnet_se,1.0,0.878346989718545,0.896821239429266
21,resnet_se,1.0,0.8373941373858158,0.8458339144184471
22,resnet_se,1.0,0.7960706607742813,0.7874239152043805
23,resnet_se,1.0,0.8274920216382289,0.832442000907185
24,resnet_se,1.0,0.7348802557697229,0.8004613289766953
25,resnet_se,1.0,0.8731121313109618,0.90216518248535
26,resnet_se,1.0,0.800176964416881,0.8257715959790504
27,resnet_se,1.0,0.9085468773101375,0.9051459293394778
28,resnet_se,1.0,0.780312551775749,0.7753915516236013
29,resnet_se,1.0,0.8554630015304345,0.8591048262308023
30,resnet_se,1.0,0.8240640627784919,0.8291601881827445
31,resnet_se,1.0,0.747965800991185,0.7785320762545814
32,resnet_se,1.0,0.8268649923562948,0.8355229906792825
33,resnet_se,1.0,0.8335260688687443,0.8364009160833117
34,resnet_se,1.0,0.8510540215655248,0.8729940880198234
35,resnet_se,1.0,0.6365725498129328,0.6589523994957271
36,resnet_se,1.0,0.7626703057759352,0.7926407521922929
37,resnet_se,1.0,0.8876610340838574,0.8783859410776664
38,resnet_se,1.0,0.8391338781275222,0.8515811861511106
39,resnet_se,1.0,0.8052347804005565,0.8104653679653679
40,resnet_se,1.0,0.8425607656138792,0.8537395552408572
