model,seed,f1_macro
SVM,42,0.776700141407124
RF,42,0.7732421386023015
CNN,42,0.755005946553049
SVM,7,0.776700141407124
RF,7,0.7731191498772103
CNN,7,0.7566088824954489
SVM,123,0.776700141407124
RF,123,0.7726293323802821
CNN,123,0.7622992745631326
