subject,arch,f1_macro,bal_acc
1,resnet_se,0.6336642777330164,0.633734336651459
2,resnet_se,0.8944215617667518,0.8966152481442646
3,resnet_se,0.9101615374317176,0.922309441543162
4,resnet_se,0.8642399698865508,0.8568321636877212
5,resnet_se,0.6609118930202189,0.6807927746887585
6,resnet_se,0.7559770442648881,0.7740901408892251
7,resnet_se,0.7874303692084295,0.78716118219217
8,resnet_se,0.8417724277281031,0.8593180075738216
9,resnet_se,0.8165080209756649,0.8187351388581057
10,resnet_se,0.7712332856818302,0.772958948945791
11,resnet_se,0.9312668592439171,0.9449389561749113
12,resnet_se,0.9216605295353173,0.9273226773226774
13,resnet_se,0.9075463299905341,0.9115624983353939
14,resnet_se,0.8267713902894027,0.8375193791120056
15,resnet_se,0.9119692685666597,0.9217214207875144
16,resnet_se,0.850860323899308,0.8807033244533244
17,resnet_se,0.8841950492382734,0.8837257593355154
18,resnet_se,0.8947896971022251,0.8920471969890574
19,resnet_se,0.8461512103292167,0.8608063379758438
20,resnet_se,0.8270321021250404,0.8414830583115467
21,resnet_se,0.8774325791774614,0.8845458851789071
22,resnet_se,0.8229085963487749,0.8348615988172801
23,resnet_se,0.8172842616158024,0.8334587767733125
24,resnet_se,0.7744935051488994,0.8207535310272013
25,resnet_se,0.8944765357229572,0.9215087419121946
26,resnet_se,0.8043761454800489,0.8165433802333151
27,resnet_se,0.8465177135315096,0.8430436690805354
28,resnet_se,0.8397862332426558,0.8544727456688945
29,resnet_se,0.8636127138115215,0.8672792514952901
30,resnet_se,0.840137238080182,0.843999359036953
31,resnet_se,0.804007648735642,0.8241147958399606
32,resnet_se,0.8620221590746003,0.8703568811854279
33,resnet_se,0.9064016552742693,0.9165556131708581
34,resnet_se,0.9142664794401688,0.936791013520793
35,resnet_se,0.7203667656772427,0.7280012859735876
36,resnet_se,0.7931079525378397,0.797155368934074
37,resnet_se,0.8823467375655083,0.8733021987199638
38,resnet_se,0.8747405181312271,0.8853570307869322
39,resnet_se,0.8504256021705727,0.862653318903319
40,resnet_se,0.8467258044213851,0.842905027683431
