subject,channel,alpha,f1,drop_pp
1,0,1.0,0.5815089928715437,0.0
1,0,0.75,0.5857534863564735,-0.42444934849298344
1,0,0.5,0.5648607306867752,1.6648262184768448
1,0,0.25,0.5543927221182923,2.7116270753251404
1,0,0.0,0.5437678508345819,3.7741142036961772
1,1,1.0,0.5815089928715437,0.0
1,1,0.75,0.5820055597664562,-0.049656689491250905
1,1,0.5,0.5670834164358899,1.4425576435653786
1,1,0.25,0.5296780809838967,5.183091188764699
1,1,0.0,0.5026628979554467,7.884609491609695
1,2,1.0,0.5815089928715437,0.0
1,2,0.75,0.575904793735676,0.5604199135867627
1,2,0.5,0.5406542460025545,4.085474686898916
1,2,0.25,0.48428839704858084,9.722059582296282
1,2,0.0,0.4172446469502733,16.426434592127038
1,3,1.0,0.5815089928715437,0.0
1,3,0.75,0.5751517025392586,0.6357290332285048
1,3,0.5,0.5697678447678448,1.1741148103698862
1,3,0.25,0.5429505377833171,3.855845508822653
1,3,0.0,0.5149928559255511,6.6516136945992566
1,4,1.0,0.5815089928715437,0.0
1,4,0.75,0.5798803998132163,0.162859305832741
1,4,0.5,0.558095420132977,2.34135727385667
1,4,0.25,0.5304993966375793,5.10095962339644
1,4,0.0,0.4794396712715798,10.206932159996384
1,5,1.0,0.5815089928715437,0.0
1,5,0.75,0.5624511631084652,1.905782976307846
1,5,0.5,0.527632222259505,5.387677061203866
1,5,0.25,0.4653722543620097,11.613673850953399
1,5,0.0,0.41183765136420725,16.967134150733642
1,6,1.0,0.5815089928715437,0.0
1,6,0.75,0.5903838824257858,-0.8874889554242094
1,6,0.5,0.5941037897565443,-1.2594796885000648
1,6,0.25,0.5882604814315179,-0.6751488559974206
1,6,0.0,0.5884338214060388,-0.6924828534495164
1,7,1.0,0.5815089928715437,0.0
1,7,0.75,0.581459634730282,0.004935814126172389
1,7,0.5,0.5695862756535428,1.1922717218000867
1,7,0.25,0.5457814861841708,3.57275066873729
1,7,0.0,0.505512177590938,7.5996815280605645
1,8,1.0,0.5815089928715437,0.0
1,8,0.75,0.5615328255761401,1.9976167295403524
1,8,0.5,0.5397805543296205,4.172843854192321
1,8,0.25,0.49526822409690674,8.624076877463693
1,8,0.0,0.4600566708230942,12.145232204844946
