model,f1_sd_mean,f1_loso_mean,delta_f1_mean,delta_f1_std,worst_subject,worst_f1,best_subject,best_f1
RF,0.842991168795254,0.7732421386023015,0.06974903019295267,0.05760234910462468,1,0.6026753059144594,13,0.8939836426295077
SVM,0.8740058424400265,0.776700141407124,0.09730570103290258,0.050842031821610914,1,0.6708429792681361,13,0.8935695131978626
CNN,0.9043049999999999,0.7537097920607884,0.15059520793921166,0.07846895149220082,5,0.5360809657301543,33,0.8902934484527416
