subject,f1_macro,bal_acc,acc,best_shrinkage
1,0.5213726813253677,0.4937869490975744,0.6333333333333333,0.0
2,0.7908151262188718,0.78465990680748,0.8538461538461538,auto
3,0.5262703234491136,0.5131676400997972,0.7205387205387206,auto
4,0.6427607912953863,0.6671361808482648,0.7230215827338129,0.0
5,0.4963470406780788,0.5195229349509517,0.5494350282485876,0.0
6,0.6273572611038709,0.6311814132242357,0.7135506003430532,0.0
7,0.6058149703539686,0.6112655814394018,0.7166666666666667,0.0
8,0.624755008568135,0.6308992364224922,0.759581881533101,0.0
9,0.6843973684199602,0.6864660498902528,0.7258883248730964,auto
10,0.5951120026750846,0.6302529707134971,0.7583497053045186,0.0
11,0.72958252868024,0.7587248178127226,0.7837837837837838,0.0
12,0.5611220686388692,0.5591595904095904,0.6804733727810651,0.0
13,0.7029920597978836,0.6986768458834008,0.8351063829787234,0.0
14,0.5938808600494733,0.6375008928913884,0.7612903225806451,0.0
15,0.6337905710024786,0.629444204279599,0.7819672131147541,0.0
16,0.643684302042104,0.6418463480963481,0.7812041116005873,0.0
17,0.5250815900675452,0.5243471298349347,0.7140825035561877,0.0
18,0.6630419215953343,0.6587574489464024,0.7890625,0.0
19,0.633906172054657,0.6454547781653396,0.7653631284916201,0.0
20,0.5846471041567562,0.6020030693622647,0.7595993322203672,auto
21,0.6695979799916086,0.6763561603448394,0.7973640856672158,0.0
22,0.5699538842762949,0.5744778515737564,0.6966759002770083,auto
23,0.5206097980248124,0.5276746396956961,0.6321022727272727,0.0
24,0.6872899423976115,0.7329457307938878,0.7932618683001531,0.0
25,0.6212421144044693,0.643361736201981,0.7451298701298701,0.0
26,0.6622729196255556,0.6722477995144023,0.7807351077313055,0.0
27,0.6929385851396528,0.7078292843494598,0.8314121037463977,auto
28,0.5881946806979794,0.6024624400113957,0.75,0.0
29,0.6781806561498159,0.6815839674960605,0.8029891304347826,0.0
30,0.6730268762731928,0.6954730732926222,0.8226299694189603,auto
31,0.5899289337142445,0.6144826147968004,0.7506596306068601,auto
32,0.5532887934462738,0.5708499299702879,0.7186588921282799,0.0
33,0.7191778967130663,0.7298949961109671,0.8236994219653179,auto
34,0.7585375772414328,0.775157825630252,0.8449367088607594,0.0
35,0.6263275206147019,0.6479515813679328,0.7382629107981221,auto
36,0.601098216541675,0.612978381313396,0.7411444141689373,0.0
37,0.6062699510972571,0.6177497512654596,0.7852941176470588,auto
38,0.6806972063720751,0.6791395000174331,0.8301043219076006,auto
39,0.5925889239781075,0.6022637085137086,0.8066378066378066,auto
40,0.6358775870822195,0.6428435651068407,0.8117283950617284,0.0
