subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
1,CNN,0.9706,0.9722,0.9783,0.5904556251216171,0.600498988043685,,0.38014437487838293,0.371701011956315,
2,CNN,0.9734,0.9818,0.9808,0.8324893262292128,0.8367234172574146,,0.14091067377078725,0.1450765827425854,
3,CNN,0.9815,0.9821,0.9916,0.7816931124037628,0.7617236233050008,,0.19980688759623721,0.2203763766949992,
4,CNN,0.94,0.9354,0.9643,0.6546726833318033,0.6824853860719183,,0.28532731666819666,0.2529146139280817,
5,CNN,0.8735,0.8957,0.8521,0.5278380490466368,0.5631346890788437,,0.3456619509533633,0.3325653109211564,
6,CNN,0.9446,0.936,0.9573,0.7552565421177146,0.7642888492740365,,0.18934345788228535,0.17171115072596355,
7,CNN,0.9886,0.9881,0.9917,0.6158483561402388,0.6430050198281152,,0.37275164385976123,0.3450949801718848,
8,CNN,0.9754,0.9706,0.9826,0.5893944918704411,0.6298131132433459,,0.3860055081295589,0.34078688675665414,
9,CNN,0.9595,0.9562,0.9664,0.6841636815525134,0.6808623954661691,,0.2753363184474866,0.27533760453383094,
10,CNN,0.9275,0.9333,0.9608,0.3136371664708915,0.4020995451916505,,0.6138628335291085,0.5312004548083495,
11,CNN,0.9857,0.9853,0.9904,0.711500999000999,0.7497439220836444,,0.2741990009990011,0.23555607791635558,
12,CNN,0.9219,0.9398,0.9412,0.7186200572913111,0.7041396103896105,,0.203279942708689,0.2356603896103895,
13,CNN,0.9805,0.9858,0.9868,0.7400978135014377,0.7459267711513007,,0.24040218649856238,0.23987322884869933,
14,CNN,0.9605,0.9615,0.9742,0.6897222961787561,0.7043858726626143,,0.2707777038212439,0.2571141273373857,
15,CNN,0.9485,0.9529,0.9754,0.7716157038120158,0.785175192749608,,0.17688429618798418,0.16772480725039196,
16,CNN,0.9721,0.9722,0.9854,0.772167394292179,0.8079288766788767,,0.199932605707821,0.16427112332112326,
17,CNN,0.9629,0.9623,0.9787,0.7779278189342337,0.7754619364375462,,0.1849721810657663,0.1868380635624538,
18,CNN,0.9848,0.9853,0.9922,0.677591756441248,0.6870384702506797,,0.307208243558752,0.2982615297493203,
19,CNN,0.9575,0.9562,0.9722,0.7569876585716799,0.7735159079717796,,0.20051234142832008,0.18268409202822045,
20,CNN,0.9106,0.9133,0.95,0.7156439326098113,0.7390451203856598,,0.19495606739018867,0.17425487961434016,
21,CNN,0.9252,0.9173,0.959,0.7409335478040064,0.773988011279158,,0.18426645219599358,0.14331198872084205,
22,CNN,0.9822,0.988,0.9862,0.6992637892813447,0.7080968109189643,,0.28293621071865527,0.27990318908103573,
23,CNN,0.9304,0.9221,0.9433,0.6539149663982895,0.7017762392458206,,0.2764850336017105,0.22032376075417948,
24,CNN,0.9314,0.9332,0.9542,0.6493149146116346,0.7134139471027023,,0.2820850853883654,0.2197860528972977,
25,CNN,0.9413,0.944,0.9677,0.5985335959344539,0.6491592239201232,,0.34276640406554615,0.2948407760798768,
26,CNN,0.9676,0.9732,0.981,0.5988780129174703,0.654653064602859,,0.3687219870825297,0.31854693539714096,
27,CNN,1.0,1.0,1.0,0.7904195348966052,0.7908797507988248,,0.2095804651033948,0.20912024920117522,
28,CNN,0.9802,0.9854,0.9857,0.689015225498949,0.6789598157499593,,0.29118477450105096,0.3064401842500407,
29,CNN,0.9543,0.9573,0.973,0.7335516628689066,0.7316233092291641,,0.22074833713109343,0.22567669077083596,
30,CNN,0.9589,0.9544,0.9771,0.7392046660547491,0.7483046402219334,,0.21969533394525087,0.2060953597780666,
31,CNN,0.8948,0.8898,0.9408,0.6473754843603959,0.6788047210568375,,0.2474245156396041,0.2109952789431625,
32,CNN,0.798,0.7997,0.8841,0.7123178841672734,0.7264429857812505,,0.08568211583272667,0.07325701421874942,
33,CNN,0.9791,0.9783,0.9856,0.763513176262237,0.773741249675914,,0.21558682373776294,0.204558750324086,
34,CNN,0.9708,0.9615,0.9843,0.8057624129414914,0.8145150762227968,,0.16503758705850857,0.14698492377720318,
35,CNN,0.9597,0.9678,0.9649,0.4954702342419536,0.5583685491205798,,0.4642297657580464,0.40943145087942023,
36,CNN,0.9548,0.9478,0.966,0.5780959921245544,0.6129200439040865,,0.37670400787544556,0.3348799560959135,
37,CNN,0.9485,0.9418,0.9706,0.7976447754849032,0.7956191856031721,,0.1508552245150968,0.14618081439682784,
38,CNN,0.9424,0.9502,0.963,0.4986498982246667,0.6380768917866648,,0.4437501017753333,0.3121231082133352,
39,CNN,1.0,1.0,1.0,0.6749531555601472,0.6978481240981241,,0.32504684443985277,0.30215187590187587,
40,CNN,0.9236,0.9294,0.9615,0.7193501024132531,0.7553169183940601,,0.20424989758674683,0.17408308160593988,
