subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
16,RF,0.8803947750003555,0.8702755577755578,0.919236417033774,0.8274899851876842,0.8086420523920523,0.8839941262848752,0.0529047898126712,0.0616335053835054,0.0352422907488988
11,RF,0.9210807111551198,0.9259178032806584,0.944015444015444,0.8257828021228495,0.8486320575216808,0.862934362934363,0.0952979090322703,0.0772857457589776,0.081081081081081
13,RF,0.8798537935162141,0.8752692615962863,0.9308510638297872,0.8198306335963698,0.8156858774613501,0.8949468085106383,0.0600231599198443,0.0595833841349361,0.0359042553191488
37,RF,0.8842975654757151,0.8715988988244375,0.9323529411764706,0.812952474022901,0.8022980581587522,0.8955882352941177,0.071345091452814,0.0693008406656853,0.0367647058823529
33,RF,0.9122604141936216,0.9156561662777634,0.9465317919075144,0.8009433980336332,0.7960016420361248,0.8815028901734104,0.1113170161599883,0.1196545242416385,0.0650289017341039
34,RF,0.8649135023581509,0.8674799746821806,0.9129746835443038,0.7892103918850752,0.7973953552574876,0.8670886075949367,0.0757031104730756,0.070084619424693,0.0458860759493671
2,RF,0.9024414646552074,0.9001293151936034,0.9365384615384617,0.7888253638319952,0.7877462801301559,0.8673076923076923,0.1136161008232121,0.1123830350634474,0.0692307692307693
27,RF,0.8660500607781918,0.8612299758613123,0.9236311239193083,0.7717689026708487,0.76637590520079,0.8717579250720461,0.094281158107343,0.0948540706605223,0.0518731988472622
18,RF,0.8624847528112822,0.8625678100968799,0.9109375,0.7672428207487914,0.7595220912808122,0.8546875,0.0952419320624908,0.1030457188160677,0.0562499999999999
32,RF,0.817954002269609,0.8146773146814892,0.8862973760932945,0.7595207950259852,0.7585234320515177,0.8440233236151603,0.0584332072436237,0.0561538826299714,0.0422740524781342
