subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
1,SVM,0.916040376481204,0.9186132570823682,0.9347826086956522,0.5707287163538226,0.5555841348284978,0.6521739130434783,0.3453116601273813,0.3630291222538704,0.2826086956521739
4,SVM,0.8302702747131457,0.8554096384405262,0.8705035971223022,0.6210204411719984,0.659900905355359,0.6924460431654677,0.2092498335411473,0.1955087330851672,0.1780575539568345
5,SVM,0.8199073506499214,0.8374602404208665,0.847457627118644,0.6265527779045328,0.6589171927892126,0.6581920903954802,0.1933545727453886,0.1785430476316539,0.1892655367231638
22,SVM,0.8305520500545642,0.8393848295324445,0.8767313019390581,0.6277176958730973,0.6372991545044648,0.724376731301939,0.2028343541814669,0.2020856750279797,0.1523545706371191
10,SVM,0.8818396284868295,0.8837741206162258,0.925343811394892,0.6303188451788809,0.6626186313686314,0.7465618860510805,0.2515207833079486,0.2211554892475944,0.1787819253438114
26,SVM,0.8380527124935234,0.8449265741888587,0.8973384030418251,0.6326016040801323,0.6891061322100018,0.6831432192648923,0.2054511084133911,0.1558204419788569,0.2141951837769328
31,SVM,0.7540863275194519,0.7742533573645913,0.8535620052770448,0.6370231826871574,0.6948481790223062,0.7823218997361477,0.1170631448322945,0.0794051783422851,0.0712401055408971
25,SVM,0.7909998865055046,0.8203806611517647,0.8668831168831169,0.6444066174035437,0.692302069117859,0.7094155844155844,0.1465932691019609,0.1280785920339057,0.1574675324675325
20,SVM,0.789481201547251,0.795765243210842,0.8714524207011686,0.6484884622437158,0.6653805527640101,0.7879799666110183,0.1409927393035351,0.1303846904468318,0.0834724540901502
6,SVM,0.768408180035557,0.7820153557427998,0.823327615780446,0.654848474228193,0.6681441011632232,0.7221269296740995,0.1135597058073639,0.1138712545795765,0.1012006861063464
