subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
1,RF,0.9156496131869464,0.9055464848252016,0.9318840579710144,0.4244719302484797,0.4193844570178091,0.5942028985507246,0.4911776829384667,0.4861620278073925,0.3376811594202897
5,RF,0.7594439508312556,0.7659577866268092,0.807909604519774,0.5250138663256095,0.5461028586976533,0.5353107344632768,0.234430084505646,0.2198549279291559,0.2725988700564972
10,RF,0.78213592100104,0.7833827356853673,0.8722986247544204,0.5506051572212768,0.6050166938324834,0.6856581532416502,0.2315307637797632,0.1783660418528839,0.1866404715127702
31,RF,0.7410324703745386,0.7471085651936715,0.8443271767810027,0.6289474009175632,0.6454173486088379,0.7783641160949868,0.1120850694569753,0.1016912165848336,0.0659630606860158
4,RF,0.8312001548370394,0.8229495678165417,0.8830935251798561,0.6360772198395307,0.6659637638897133,0.710431654676259,0.1951229349975086,0.1569858039268283,0.172661870503597
12,RF,0.7851471793340074,0.7495941558441559,0.8500986193293886,0.6485721536922777,0.6168831168831168,0.7790927021696252,0.1365750256417296,0.132711038961039,0.0710059171597633
8,RF,0.7772572015857421,0.7725630958189098,0.8658536585365854,0.6651032270972994,0.6745607106072222,0.794425087108014,0.1121539744884426,0.0980023852116875,0.0714285714285714
35,RF,0.7802067074738548,0.7841774080445383,0.8392018779342723,0.6689460392475081,0.690182334984885,0.7664319248826291,0.1112606682263467,0.0939950730596532,0.0727699530516431
7,RF,0.9148679046809888,0.9138634420070528,0.935,0.6784551137528183,0.690616764880695,0.7483333333333333,0.2364127909281704,0.2232466771263578,0.1866666666666667
22,RF,0.8270924963693004,0.8231210999858212,0.8767313019390581,0.6796865945850759,0.673643754678505,0.7867036011080333,0.1474059017842245,0.1494773453073161,0.0900277008310248
