subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
13,SVM,0.911501905224922,0.9177574344894952,0.9454787234042552,0.8347520415106737,0.8417967163064071,0.898936170212766,0.0767498637142483,0.0759607181830881,0.0465425531914892
27,SVM,0.8835754278943647,0.8822627477426849,0.9337175792507204,0.824314155210103,0.8159425060346719,0.899135446685879,0.0592612726842617,0.0663202417080129,0.0345821325648414
3,SVM,0.8782887996982569,0.8644138683707594,0.925925925925926,0.7900020681804211,0.7639487083940486,0.8703703703703703,0.0882867315178358,0.1004651599767108,0.0555555555555556
29,SVM,0.8455281586153529,0.8498664202598313,0.8967391304347826,0.7665294779906677,0.7674077116796625,0.8519021739130435,0.0789986806246851,0.0824587085801688,0.0448369565217391
16,SVM,0.8870779843802893,0.8927385114885115,0.9295154185022028,0.7625690490412669,0.7796959984459985,0.8458149779735683,0.1245089353390224,0.113042513042513,0.0837004405286344
11,SVM,0.9059991837464916,0.9162293313648238,0.9305019305019304,0.7618901818665134,0.8066485838462045,0.7876447876447876,0.1441090018799782,0.1095807475186192,0.1428571428571428
32,SVM,0.8602077102378709,0.8641930304533831,0.912536443148688,0.7590755160054381,0.7594821480616631,0.8454810495626822,0.1011321942324328,0.10471088239172,0.0670553935860057
37,SVM,0.8732441257049159,0.8759665113567159,0.9264705882352942,0.7574030860288699,0.7744693965736362,0.8544117647058823,0.115841039676046,0.1014971147830796,0.0720588235294118
17,SVM,0.8360006161486407,0.8389161651356772,0.8975817923186344,0.7507655025440478,0.7535388730510681,0.8477951635846372,0.0852351136045929,0.085377292084609,0.0497866287339971
21,SVM,0.8642866074473745,0.8757586379781513,0.914332784184514,0.7387310513412639,0.7645012145270615,0.8319604612850082,0.1255555561061105,0.1112574234510898,0.0823723228995058
