label,support,precision,recall,f1
DNS,4069,0.6069261880687563,0.5900712705824527,0.5983800623052958
STDUP,14686,0.9328412793403816,0.9552635162740024,0.9439192598822541
UPS,4550,0.7040178571428571,0.6931868131868132,0.6985603543743079
WAK,3042,0.6810584958217271,0.6429980276134122,0.6614812309773418
