model,n_samples,n_features,subjects,cv_splits,acc_mean,bal_acc_mean,f1_macro_mean,acc_std,bal_acc_std,f1_macro_std,fit_time_mean_sec,pred_time_mean_sec,infer_time_per_window_ms,svm_c,svm_scale,rf_n_estimators,rf_max_depth,sv_support_vectors_mean,sv_frac_mean,sv_n_iter_mean
SVM_RBF_balanced_scaled,26347,72,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.9191180594094635,0.8745745779319657,0.8733949177272686,0.004376692968673589,0.00753572027926024,0.007171656850873769,50.24497339999944,12.368505279999226,2.347232185827462,5.0,1,300,-1,7209.2,0.34203136883006113,16576.63333333333
RF_balanced,26347,72,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.8981668295061553,0.8360361118117108,0.8434481111371748,0.004684819903831432,0.007301163319246412,0.007596578838754153,66.3352710200008,0.3105993200006196,0.05894396325969173,5.0,1,300,-1,,,
LDA_scaled,26347,72,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",5,0.7788742719490284,0.6647639581257282,0.6657173151033967,0.0033863545019309697,0.006924338300837084,0.00664372783990799,0.13351911999925506,0.004560900005162694,0.000865544465245131,5.0,1,300,-1,,,
