source_file,window_ms,feat_set,model,subject,n_windows,acc,f1_macro,bal_acc
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,LDA_scaled,36,734,0.7670299727520435,0.6475541034646578,0.6512515066554869
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,LDA_scaled,37,680,0.7926470588235294,0.6200699949342544,0.6297726426242298
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,LDA_scaled,38,671,0.8435171385991058,0.7124896948151438,0.7056252397057285
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,LDA_scaled,39,693,0.8297258297258298,0.6566555256127794,0.6613347763347763
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,LDA_scaled,40,648,0.8240740740740741,0.6588196265173876,0.6679378335834623
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,1,690,0.9420289855072463,0.9310538339244776,0.9217745550006402
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,2,520,0.9365384615384615,0.9001177423860326,0.8982643448935584
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,3,594,0.8821548821548821,0.8178482875785251,0.7923895554234146
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,4,556,0.8830935251798561,0.8272697143151857,0.8196509784639356
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,5,708,0.7980225988700564,0.747368895061281,0.7556178666830551
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,6,583,0.8267581475128645,0.7714622900623573,0.7622984701256987
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,7,600,0.9433333333333334,0.9245526978524528,0.9222978376441812
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,8,574,0.8641114982578397,0.7775218395437151,0.7709850227292088
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,9,591,0.8629441624365483,0.8371374769568144,0.8243712622229213
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,10,509,0.8840864440078585,0.8068004528787925,0.8055595720069404
freq_windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_ext,250,ext,RF_balanced,11,518,0.9478764478764479,0.9275576978689326,0.9301008861154267
