subject,f1_macro
1,0.6610942948088491
2,0.8641173938134359
3,0.8026899482277057
4,0.7679634527580891
5,0.6954911174105827
6,0.7559901477531702
7,0.774968415788696
8,0.7543530055835337
9,0.7924311503784587
10,0.6979028659134293
11,0.858444922684521
12,0.8166930173542191
13,0.9000335687796831
14,0.8077138410107172
15,0.8426218181543597
16,0.8388107682115974
17,0.8042652517120371
18,0.8234392881774706
19,0.7582753072081415
20,0.6926349754468984
21,0.7784542053178383
22,0.7298605455735194
23,0.6764175957441693
24,0.6852724367396084
25,0.7680174319261338
26,0.7363611427329986
27,0.8291525086155735
28,0.8087149984189221
29,0.7889011178336834
30,0.8003173741104742
31,0.7377602508887344
32,0.7344483912664599
33,0.8477766212286448
34,0.844441056815531
35,0.7501497150169296
36,0.7203683413360833
37,0.791067539036558
38,0.80764422807116
39,0.7681083234921882
40,0.7593831519907634
