soft_incl,soft_excl,SVM_incl,SVM_excl,RESNET_SE_incl,RESNET_SE_excl,subject
0.6517541832931322,0.6348603632682822,0.5597611191003925,0.5530216498227323,0.6396197201089376,0.6238888521546297,1
0.8388850010416324,0.8611885746557817,0.7392440049492031,0.7570120901530801,0.8080517201000637,0.8202234108306483,2
0.8160673979935097,0.8203867383775815,0.7196187839345862,0.712528115159694,0.8346970295809357,0.8330956389835158,3
0.7866896244374926,0.7892815867817904,0.6468813197346667,0.6478934051223209,0.7980378788479376,0.8001984830002444,4
0.7468912995541253,0.7499104499933904,0.6580103546931133,0.6621451861242915,0.7180882304822983,0.7196126534944784,5
0.7753525370670382,0.7748760221492843,0.6617235930976476,0.656354033728505,0.7389958295213839,0.7384375464691829,6
0.7383407514937574,0.7350477631540527,0.6698487094318265,0.6580966632705043,0.7217589477334357,0.7183251526478246,7
0.8299955590777797,0.8318530776783315,0.6927027121949607,0.6959907787836437,0.786570923940771,0.7809508154364387,8
0.8065965829077445,0.8031209162945431,0.6934007020675468,0.6850470809792844,0.7579182871284087,0.758299047441455,9
0.7330602688852379,0.729539241063839,0.587931315583737,0.583892706044743,0.8079132077083542,0.8077463800662563,10
0.9361159582581831,0.9369984264455707,0.8238261677926154,0.8224750823602127,0.9178714746003296,0.9207476025919771,11
0.8801979768194766,0.8775273833855807,0.7350681015277424,0.7250086475268073,0.8703222539779737,0.8633186335379419,12
0.8687732357157207,0.8705114815506719,0.7936573163857616,0.7916961260729624,0.8410185578693866,0.8462016507424743,13
0.780777087556147,0.7793410145827577,0.6980111013145162,0.6951060189280968,0.7198702991271407,0.718452871552483,14
0.8421010876873123,0.8378999714076836,0.7772118188299659,0.776837820036464,0.8032271300014984,0.7918319305075564,15
0.806736767336621,0.8110885901395288,0.7255439056763617,0.7270389905555883,0.759087428578954,0.7644672259183067,16
0.779600648038034,0.7814991068368988,0.7055498705134936,0.708906766787051,0.7681477578438615,0.7725446259166285,17
0.7583758441447332,0.7586254388885968,0.6717547154040096,0.674946099651982,0.7412248388097874,0.7382494463094033,18
0.8238841813096227,0.823915898957951,0.7654614321671267,0.7635578963611158,0.8246877531113581,0.8262692152103559,19
0.7386382739538608,0.7390420883232034,0.6247399388487103,0.6156523873540738,0.7522285181799604,0.7561439437452118,20
0.8134094846224085,0.8248948085613814,0.7384317148533515,0.7499306855481443,0.836929282962223,0.8408121360651492,21
0.7734327903946866,0.7777031429924062,0.7101260508271174,0.7152363911945794,0.7639546385331331,0.7656469110171843,22
0.7396714808304432,0.7315600816782416,0.6328339030838176,0.6345729575006955,0.6447563813945929,0.6392227010865097,23
0.7534725589028382,0.7584278379926055,0.623377181166126,0.6280643695347832,0.750121041165903,0.7470761053767647,24
0.8835195679416785,0.8867707725868809,0.7646554354532147,0.7696566109821477,0.8547007704443519,0.8566839770029293,25
0.7103106510364087,0.7095196817791516,0.6307073735859343,0.6254348576621134,0.7254774719963325,0.7217126741132993,26
0.854729988654872,0.8639274071801303,0.7731388120598381,0.7778941403334438,0.8471913825363638,0.8533850147462342,27
0.8086091657378938,0.8212510656958729,0.7512384470044766,0.7622813886454918,0.7658353644234592,0.7728293171949641,28
0.7115096050973755,0.706722161861034,0.6115775847451927,0.6042082954753181,0.7335639372196383,0.7248117629796866,29
0.8321573596766598,0.830010958428701,0.7595874999706781,0.761422205905884,0.8647437723095617,0.8576772595052091,30
0.7120577027140298,0.7092278119092362,0.6560501314134358,0.6542831592730989,0.7107546690885769,0.708947182752131,31
0.8177222986114465,0.8333318379671439,0.722731155293591,0.7327333336417768,0.7739768530522422,0.7803400115494952,32
0.7789506876771027,0.7800381340166004,0.6647709569032261,0.6609150256287054,0.7690187701613758,0.7664363827761462,33
0.8532362438694893,0.8518576454770107,0.7894113420971101,0.792668334694989,0.8115772030923923,0.8119230738766203,34
0.7332142709059495,0.7278067888026942,0.7122410342057753,0.706227845673136,0.6616729655716018,0.6545885429405903,35
0.7313110056416227,0.7342924660818495,0.6243487469987545,0.6247686432731625,0.7126557499642105,0.7106011346975203,36
0.6548191511528421,0.6698011697373445,0.5991497696715549,0.6112092746895045,0.6696103177359563,0.6744493140829066,37
0.8847335022077778,0.8843566555034809,0.6909229126924245,0.6905309153934256,0.7546384592410749,0.7574138958826592,38
0.742856793667029,0.7535563479390925,0.6516729835945299,0.660854395152828,0.7741507604304942,0.7723229382199177,39
0.6538694514786435,0.6391317085530588,0.5883748503713514,0.581017509773674,0.7177877232267492,0.718444548690246,40
