SVM+RF+CNN [hard],SVM+RF+CNN [soft],SVM+RF+CNN [weighted_soft],SVM+RF+CNN [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RF+CNN+RESNET_SE [hard],SVM+RF+CNN+RESNET_SE [soft],SVM+RF+CNN+RESNET_SE [weighted_soft],SVM+RF+CNN+RESNET_SE [stacking],SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.6440846153543565,0.6374189349050734,0.6374189349050734,0.6534955140144054,0.6631587774545133,0.6638221108403554,0.6657257219502737,0.6658705869835966,0.6515775469598764,0.6538359991574766,0.6534047415501631,0.6631122052550273,0.6610942948088491,0.6655803885872092,0.6655803885872092,0.6556349417622017,0.6369135198352118,0.6662139350459715,0.6609414103784977,0.6571125337360053,0.6369135198352118,0.6530523867152122,0.6526711610535625,0.6529471544715446
0.8753999605048624,0.9053564765762481,0.9053564765762481,0.8929045796157865,0.8932282373227255,0.9271164144960565,0.9271164144960565,0.9333293948019976,0.8944889653818819,0.9231482780951664,0.9199610856592912,0.9363394789010746,0.8641173938134359,0.875970146798365,0.875970146798365,0.8596222257418973,0.8892519667284784,0.938886731572223,0.9365487380211936,0.934003182136448,0.8892519667284784,0.910881053836563,0.909033506402839,0.917546859815679
0.8297556337619181,0.842464435941743,0.842464435941743,0.8385385502456809,0.856205220514431,0.8962204774989236,0.9024506015818295,0.9230645607734319,0.8814048155407856,0.8986478704867601,0.9072352298583668,0.9148026986136413,0.8026899482277057,0.8063576228759659,0.8063576228759659,0.803907109697134,0.911591275737929,0.9153489550758082,0.9153489550758082,0.920096205095941,0.911591275737929,0.9195366795366795,0.9195366795366795,0.9124430641821946
0.8082486629731985,0.8206941190384858,0.8206941190384858,0.8216578488299202,0.8149574125649812,0.8543323672569456,0.8598821258033456,0.8989895772440338,0.8220009431128359,0.8725890563636258,0.8725890563636258,0.8989895772440338,0.7679634527580891,0.7845305498139727,0.7845305498139727,0.7917284643095513,0.8967431655888143,0.8833713944149832,0.8901610959415269,0.9021129850413099,0.8967431655888143,0.9091801060426594,0.9091801060426594,0.9091801060426594
0.6760130541582146,0.6788142613105966,0.6788142613105966,0.6694648230047399,0.6927152619374821,0.7088283301996409,0.715373892785111,0.7177205790315772,0.6862003525149942,0.666057325100248,0.6696354792108985,0.7071605898844654,0.6954911174105827,0.6876949658480151,0.6876949658480151,0.6937339124839125,0.6575722460290012,0.7131905782253918,0.6994380496120438,0.7179581309143829,0.6575722460290012,0.6718359231425642,0.6698334414235809,0.6843733680980277
0.7473889882682955,0.7576077826608243,0.7576077826608243,0.7482157820393115,0.7664864088536312,0.7807897580618575,0.7861763308549303,0.8177167235405405,0.7826959526743326,0.7848456541741478,0.7848456541741478,0.8148756612200505,0.7559901477531702,0.7658137275463884,0.7658137275463884,0.7590630020876505,0.8089474753239861,0.7994877494460711,0.8001760280815139,0.822305284301754,0.8089474753239861,0.799252674866024,0.799252674866024,0.8043788985920513
0.7796071566308174,0.7659991904186692,0.7659991904186692,0.7494940107223094,0.7829956006575349,0.8145196115453218,0.8244910683571676,0.8155278972989535,0.7969415494990941,0.8088029984047952,0.809686162083247,0.8130752395381129,0.774968415788696,0.771375077340203,0.771375077340203,0.7676055771004197,0.7879275050695798,0.8213001588466575,0.8215215380552203,0.8102382153594976,0.7879275050695798,0.8034880157270357,0.8010733227567015,0.8103817271589486
0.7888681815871439,0.7849730326270367,0.7849730326270367,0.7990219296523908,0.8240621810966432,0.8578495417357537,0.8613540239631748,0.8792413459134973,0.8091085858692654,0.8494818038943317,0.8517256707666816,0.8792413459134973,0.7543530055835337,0.760642424581219,0.760642424581219,0.7581802037782315,0.8544364759411147,0.877382052488078,0.8758621169511847,0.8781615981507473,0.8544364759411147,0.8631375177096549,0.8609179450612567,0.8644415133319513
0.7917741168580525,0.8071355241071068,0.8091581008578057,0.8162389281404605,0.8270970071187853,0.8411530337063039,0.8430855436273393,0.850121937517762,0.830211262331633,0.8311723218604293,0.8382426764180442,0.8468311393384388,0.7924311503784587,0.8005993909063469,0.8005993909063469,0.7853138803040582,0.8266835341910488,0.8488024541238529,0.844511975802113,0.850121937517762,0.8266835341910488,0.8352880236177888,0.8331366384493141,0.8348451611090584
0.7418837191356661,0.7567976794548809,0.7567976794548809,0.7510189214390537,0.7584973072655637,0.7774667879286459,0.7717199841208411,0.7687222907811143,0.7386243921652845,0.7738951589031005,0.7689906554443635,0.77037835525552,0.6979028659134293,0.7279399917190869,0.7279399917190869,0.7309892957919274,0.7364832076272612,0.7578401989476289,0.762297228755022,0.7615436024122632,0.7364832076272612,0.7704107111880847,0.7704107111880847,0.7678438228438229
