subject,arch,coral_lambda,f1_macro,bal_acc
1,resnet_se,30.0,0.7519613509182963,0.7396940196071746
2,resnet_se,30.0,0.8496743651577193,0.8617736916416403
3,resnet_se,30.0,0.9181806517695946,0.9235832414895283
4,resnet_se,30.0,0.886777907663586,0.9036389679524248
5,resnet_se,30.0,0.7250626798735809,0.7377763834074882
6,resnet_se,30.0,0.8115803318701987,0.8159203969465214
7,resnet_se,30.0,0.8417582880492017,0.8540574404504531
8,resnet_se,30.0,0.8708354193509503,0.8679582045861116
9,resnet_se,30.0,0.8172121199938691,0.8128433464171916
10,resnet_se,30.0,0.7462348492696571,0.7697910641989589
11,resnet_se,30.0,0.9347246891286384,0.9470975928675862
12,resnet_se,30.0,0.8972833725366094,0.905969030969031
13,resnet_se,30.0,0.9115851260059722,0.9212445663457904
14,resnet_se,30.0,0.812680224164883,0.8352900308907567
15,resnet_se,30.0,0.8927796760456171,0.9149674946118787
16,resnet_se,30.0,0.859577988583106,0.8765116827616828
17,resnet_se,30.0,0.8789686297159872,0.8747765107521205
18,resnet_se,30.0,0.8967526908441901,0.9056252613665404
19,resnet_se,30.0,0.8857642980364439,0.9022951519845935
20,resnet_se,30.0,0.8686550005840379,0.8879005726857173
21,resnet_se,30.0,0.8678367545335051,0.8777914299247803
22,resnet_se,30.0,0.8525075595139919,0.8537099595486318
23,resnet_se,30.0,0.8302463870374757,0.8372087153995216
24,resnet_se,30.0,0.7711956460546976,0.8241433353301595
25,resnet_se,30.0,0.8559110958491762,0.893789323628903
26,resnet_se,30.0,0.775643780948335,0.8000500806995272
27,resnet_se,30.0,0.9029802951280006,0.9006284890037841
28,resnet_se,30.0,0.8439670377248258,0.8370861849566157
29,resnet_se,30.0,0.832097547900891,0.8378800198840405
30,resnet_se,30.0,0.8089062627691272,0.8166335544155092
31,resnet_se,30.0,0.7614842875107641,0.7856327991132831
32,resnet_se,30.0,0.780447474991705,0.7936268191244147
33,resnet_se,30.0,0.8638999433504613,0.8636215538847117
34,resnet_se,30.0,0.8552493715109408,0.8747523095776772
35,resnet_se,30.0,0.6938661674687245,0.7136523807315052
36,resnet_se,30.0,0.8650042830799354,0.8777670783402625
37,resnet_se,30.0,0.889349083982738,0.8911243657139538
38,resnet_se,30.0,0.657595696083567,0.7316527782620317
39,resnet_se,30.0,0.7915477623623399,0.8166035353535352
40,resnet_se,30.0,0.8303356370623537,0.837198881566822
