rung,name,mmd_removed_pct,w1_removed_pct,subject_probe_bal_acc,silhouette_by_class,f1_macro_mean
0,global_z,0.0,0.0,0.7771288577677138,0.0079769523394296,0.709404
1,mean_center,42.37566735298779,35.467520237954005,0.0427098203688874,0.0190494226460539,0.748229
2,scale_only,-26.71505494882689,-35.25292612851487,0.9091532065620956,0.0077713241700874,0.718581
3,mean_scale,54.38409038305287,62.29019234251445,0.0241882796813777,0.0229604467214263,0.7767
4,full_whiten_recolor,72.95769932465038,75.248374804439,0.0118717563555601,-0.0060605329314395,0.67521
