rung,name,subject,n_test,f1_macro,bal_acc,acc,best_params,fit_time_sec
4,full_whiten_recolor,1,690,0.578345878280984,0.5759145067404399,0.6507246376811594,"{'clf__C': 1, 'clf__gamma': 'scale'}",676.24
4,full_whiten_recolor,2,520,0.7105176708640982,0.7150465369218988,0.7903846153846154,"{'clf__C': 1, 'clf__gamma': 'scale'}",798.88
4,full_whiten_recolor,22,722,0.6166221033868093,0.6419646299499819,0.6703601108033241,"{'clf__C': 1, 'clf__gamma': 'scale'}",473.24
4,full_whiten_recolor,3,594,0.6486656728730864,0.6586853625001357,0.7794612794612794,"{'clf__C': 1, 'clf__gamma': 'scale'}",492.85
4,full_whiten_recolor,23,704,0.5184692819541912,0.5280424881003676,0.5596590909090909,"{'clf__C': 1, 'clf__gamma': 'scale'}",380.32
4,full_whiten_recolor,4,556,0.6846654214101741,0.7017479614800254,0.7697841726618705,"{'clf__C': 1, 'clf__gamma': 'scale'}",396.69
4,full_whiten_recolor,24,653,0.6011853288745489,0.6435605667873655,0.6753445635528331,"{'clf__C': 1, 'clf__gamma': 'scale'}",379.51
4,full_whiten_recolor,5,708,0.5614296752297065,0.5737670853585736,0.6285310734463276,"{'clf__C': 1, 'clf__gamma': 'scale'}",376.4
4,full_whiten_recolor,25,616,0.7068751683666606,0.7554922274700526,0.7792207792207793,"{'clf__C': 1, 'clf__gamma': 'scale'}",369.86
4,full_whiten_recolor,6,583,0.695333257519004,0.699830603756001,0.7598627787307033,"{'clf__C': 1, 'clf__gamma': 'scale'}",372.52
4,full_whiten_recolor,26,789,0.6801468071036119,0.7017924434753148,0.770595690747782,"{'clf__C': 1, 'clf__gamma': 'scale'}",363.94
4,full_whiten_recolor,7,600,0.6404139635880733,0.6670796185644416,0.69,"{'clf__C': 1, 'clf__gamma': 'scale'}",362.92
4,full_whiten_recolor,27,694,0.7865414318212509,0.7923192408355946,0.8717579250720461,"{'clf__C': 1, 'clf__gamma': 'scale'}",367.09
4,full_whiten_recolor,8,574,0.5714958120038011,0.5849086959552076,0.6689895470383276,"{'clf__C': 1, 'clf__gamma': 'scale'}",366.23
4,full_whiten_recolor,28,700,0.7320420216397464,0.7329524080503192,0.8128571428571428,"{'clf__C': 1, 'clf__gamma': 'scale'}",375.11
4,full_whiten_recolor,9,591,0.646180118296582,0.6521582551042537,0.6869712351945855,"{'clf__C': 1, 'clf__gamma': 'scale'}",373.28
4,full_whiten_recolor,29,736,0.721988047427353,0.7358050367758902,0.8097826086956522,"{'clf__C': 1, 'clf__gamma': 'scale'}",355.4
4,full_whiten_recolor,10,509,0.6083756938705486,0.6318073373994427,0.7151277013752456,"{'clf__C': 1, 'clf__gamma': 'scale'}",359.39
4,full_whiten_recolor,30,654,0.6983284753492675,0.7102856416766191,0.8180428134556575,"{'clf__C': 1, 'clf__gamma': 'scale'}",354.56
4,full_whiten_recolor,11,518,0.7129362417530831,0.7484950057653297,0.747104247104247,"{'clf__C': 1, 'clf__gamma': 'scale'}",354.63
4,full_whiten_recolor,31,758,0.6171258750322206,0.6333972053817724,0.7480211081794196,"{'clf__C': 1, 'clf__gamma': 'scale'}",348.93
4,full_whiten_recolor,12,507,0.6731527451151177,0.7156905594405595,0.7238658777120316,"{'clf__C': 1, 'clf__gamma': 'scale'}",355.83
4,full_whiten_recolor,32,686,0.6345586864737398,0.6580683112083392,0.7376093294460642,"{'clf__C': 1, 'clf__gamma': 'scale'}",354.92
4,full_whiten_recolor,13,752,0.7724350076750428,0.8039425033042084,0.8324468085106383,"{'clf__C': 1, 'clf__gamma': 'scale'}",354.41
4,full_whiten_recolor,33,692,0.7528897621128944,0.7683491055224267,0.8424855491329479,"{'clf__C': 1, 'clf__gamma': 'scale'}",366.8
4,full_whiten_recolor,14,775,0.7255744801668733,0.752407411886868,0.8090322580645162,"{'clf__C': 1, 'clf__gamma': 'scale'}",366.33
4,full_whiten_recolor,34,632,0.7843403141635127,0.8043607452596423,0.8670886075949367,"{'clf__C': 1, 'clf__gamma': 'scale'}",390.77
4,full_whiten_recolor,15,610,0.7076017910639795,0.7380532566699435,0.8049180327868852,"{'clf__C': 1, 'clf__gamma': 'scale'}",390.87
4,full_whiten_recolor,35,852,0.6893896042173447,0.7033720500819278,0.7676056338028169,"{'clf__C': 1, 'clf__gamma': 'scale'}",352.25
4,full_whiten_recolor,16,681,0.7342732467593969,0.7583513708513709,0.8091042584434655,"{'clf__C': 1, 'clf__gamma': 'scale'}",358.33
4,full_whiten_recolor,36,734,0.7299748923827724,0.7411451236767634,0.8242506811989101,"{'clf__C': 1, 'clf__gamma': 'scale'}",366.43
4,full_whiten_recolor,17,703,0.7534824790152195,0.7648778728047021,0.8264580369843528,"{'clf__C': 1, 'clf__gamma': 'scale'}",370.64
4,full_whiten_recolor,37,680,0.6655117590084301,0.6658921788938239,0.7955882352941176,"{'clf__C': 1, 'clf__gamma': 'scale'}",428.96
