model,subject,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
RF,1,0.8449942877837584,0.4447457452454589,0.4002485425382995,0.8374666634046548,0.4392422669261154,0.3982243964785394
RF,5,0.8449942877837584,0.5420798159078386,0.3029144718759198,0.8374666634046548,0.5629171784756326,0.2745494849290222
RF,10,0.8449942877837584,0.5751137282918168,0.2698805594919415,0.8374666634046548,0.6208133971291866,0.2166532662754682
RF,12,0.8449942877837584,0.6324407888740172,0.2125534989097411,0.8374666634046548,0.6046453546453546,0.2328213087593001
RF,31,0.8449942877837584,0.6375411585767652,0.2074531292069932,0.8374666634046548,0.6594150641025641,0.1780515993020907
RF,4,0.8449942877837584,0.641691727798987,0.2033025599847714,0.8374666634046548,0.6730078622868949,0.1644588011177599
RF,22,0.8449942877837584,0.6792142940259585,0.1657799937577999,0.8374666634046548,0.6767212515327726,0.1607454118718821
RF,6,0.8449942877837584,0.6811268297475194,0.163867458036239,0.8374666634046548,0.6788943501810456,0.1585723132236092
RF,8,0.8449942877837584,0.6836580085684344,0.161336279215324,0.8374666634046548,0.6877652386373316,0.1497014247673231
RF,26,0.8449942877837584,0.688119491428614,0.1568747963551444,0.8374666634046548,0.7061351051773349,0.1313315582273199
