model,subject,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
SVM,1,0.8733949177272686,0.4659103345171819,0.4074845832100867,0.8745745779319657,0.4449342607263202,0.4296403172056455
SVM,5,0.8733949177272686,0.6140256602047128,0.2593692575225558,0.8745745779319657,0.6388056939420466,0.2357688839899191
SVM,26,0.8733949177272686,0.631846223951487,0.2415486937757816,0.8745745779319657,0.6811459652570824,0.1934286126748833
SVM,20,0.8733949177272686,0.6323565548299501,0.2410383628973185,0.8745745779319657,0.6533662869460859,0.2212082909858798
SVM,4,0.8733949177272686,0.6341242044652566,0.239270713262012,0.8745745779319657,0.6697356465326746,0.2048389313992911
SVM,10,0.8733949177272686,0.6420866011354264,0.2313083165918422,0.8745745779319657,0.6757140885430359,0.1988604893889297
SVM,31,0.8733949177272686,0.6465904390679722,0.2268044786592964,0.8745745779319657,0.6928731040086674,0.1817014739232982
SVM,39,0.8733949177272686,0.6543104444893816,0.219084473237887,0.8745745779319657,0.6665530303030303,0.2080215476289354
SVM,7,0.8733949177272686,0.6565529309499281,0.2168419867773405,0.8745745779319657,0.6684105524830786,0.2061640254488871
SVM,23,0.8733949177272686,0.6590606352335134,0.2143342824937552,0.8745745779319657,0.6830814670538607,0.1914931108781049
