model,subject,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
SVM,27,0.8733949177272686,0.8266852507869773,0.0467096669402913,0.8745745779319657,0.8239458726055332,0.0506287053264324
SVM,13,0.8733949177272686,0.8249348719741011,0.0484600457531675,0.8745745779319657,0.8304030559066169,0.0441715220253488
SVM,11,0.8733949177272686,0.798404736794828,0.0749901809324405,0.8745745779319657,0.8407334128748537,0.0338411650571119
SVM,29,0.8733949177272686,0.7845537598148195,0.0888411579124491,0.8745745779319657,0.7841790752012137,0.090395502730752
SVM,16,0.8733949177272686,0.7830662705964436,0.090328647130825,0.8745745779319657,0.7979569042069042,0.0766176737250614
SVM,3,0.8733949177272686,0.7815714738216111,0.0918234439056575,0.8745745779319657,0.7555542924434806,0.119020285488485
SVM,33,0.8733949177272686,0.7665026159916977,0.1068923017355709,0.8745745779319657,0.7749021260046669,0.0996724519272987
SVM,32,0.8733949177272686,0.7636922772212494,0.1097026405060191,0.8745745779319657,0.7800324494612165,0.0945421284707491
SVM,21,0.8733949177272686,0.7633188406818359,0.1100760770454327,0.8745745779319657,0.7781249147899629,0.0964496631420027
SVM,15,0.8733949177272686,0.7594111225871372,0.1139837951401314,0.8745745779319657,0.7898724620753153,0.0847021158566504
