model,subject,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
RF,11,0.8449942877837584,0.8362823060250102,0.0087119817587482,0.8374666634046548,0.8512068565935056,-0.0137401931888507
RF,33,0.8449942877837584,0.8331836896601752,0.0118105981235832,0.8374666634046548,0.8300866390113215,0.0073800243933332
RF,37,0.8449942877837584,0.8296354548334033,0.0153588329503551,0.8374666634046548,0.8122084177578306,0.0252582456468242
RF,16,0.8449942877837584,0.8262260026880082,0.0187682850957502,0.8374666634046548,0.8131868131868132,0.0242798502178416
RF,13,0.8449942877837584,0.824815304527323,0.0201789832564354,0.8374666634046548,0.8206720645928351,0.0167945988118196
RF,2,0.8449942877837584,0.8044318689631931,0.0405624188205653,0.8374666634046548,0.8064447072034236,0.0310219562012311
RF,27,0.8449942877837584,0.797548080974541,0.0474462068092174,0.8374666634046548,0.7897465437788018,0.0477201196258529
RF,34,0.8449942877837584,0.7783721198060263,0.0666221679777321,0.8374666634046548,0.7941119505494505,0.0433547128552043
RF,18,0.8449942877837584,0.7740771120149474,0.0709171757688109,0.8374666634046548,0.772418497200474,0.0650481662041808
RF,24,0.8449942877837584,0.7599093678385391,0.0850849199452192,0.8374666634046548,0.7906568471530676,0.0468098162515872
