subject,arch,f1_pre_adabn,f1_macro,bal_acc,delta_pp
1,resnet_se,0.5353341884928272,0.5876284628237157,0.5817822715937687,5.23
2,resnet_se,0.6996884032997688,0.737114452636914,0.7445952216310144,3.74
3,resnet_se,0.8037397223540947,0.7247611246089948,0.7552081553659529,-7.9
4,resnet_se,0.6889567587759362,0.7637234218581948,0.7689925294578092,7.48
5,resnet_se,0.5682807273803315,0.6271590851881919,0.6299610506482739,5.89
6,resnet_se,0.6977652385248976,0.7097852008448906,0.7212907922542988,1.2
7,resnet_se,0.7171793102152242,0.7522023954167014,0.7701362093365783,3.5
8,resnet_se,0.5799991580365411,0.7910440547544373,0.8039452795266748,21.1
9,resnet_se,0.7291956415017822,0.8074577644637779,0.8076483897798148,7.83
10,resnet_se,0.4596386660724896,0.6653048622049704,0.6756647957305851,20.57
11,resnet_se,0.7205900989898835,0.822547978665202,0.8237959330821195,10.2
12,resnet_se,0.7003074185088047,0.7777759653955826,0.7865884115884115,7.75
13,resnet_se,0.8068807121159504,0.8310586636975597,0.8364114980067399,2.42
14,resnet_se,0.7053861525384146,0.7540817231846669,0.7717615125393393,4.87
15,resnet_se,0.8286694643103956,0.8496629298917636,0.8651062071297091,2.1
16,resnet_se,0.8386980845350909,0.8135171905279812,0.851992451992452,-2.52
17,resnet_se,0.7546450933361364,0.776272637379835,0.7889161651356774,2.16
18,resnet_se,0.6684760567889116,0.7268412778127882,0.739204037241828,5.84
19,resnet_se,0.7588944576211519,0.7905755070684553,0.8148360929718431,3.17
20,resnet_se,0.7625587220793985,0.7734762540325348,0.7927421051364295,1.09
21,resnet_se,0.7236696477144076,0.7358842255172992,0.7422654529822377,1.22
22,resnet_se,0.6450593042481829,0.7300328183555076,0.7300115714160337,8.5
23,resnet_se,0.6630553428802597,0.6878207250092845,0.6912358068806559,2.48
24,resnet_se,0.6808600369187662,0.7276036866386039,0.7772186799443476,4.67
25,resnet_se,0.6434889661974368,0.6698642392481726,0.7181418935994565,2.64
26,resnet_se,0.651067248245936,0.7117118502916201,0.7100027804849035,6.06
27,resnet_se,0.8374141891886535,0.813151659922229,0.8180677542456793,-2.43
28,resnet_se,0.699627056128637,0.7349115442765455,0.7335648694574934,3.53
29,resnet_se,0.7557701621202766,0.7758108325493214,0.7825958050942452,2.0
30,resnet_se,0.6949906871145405,0.8275499076489945,0.8364683562051984,13.26
31,resnet_se,0.6782501343192561,0.7090633897479863,0.7284339390132393,3.08
32,resnet_se,0.715672964990192,0.6968085984653029,0.7216591280635831,-1.89
33,resnet_se,0.7903891058169152,0.8342112750226021,0.8361794572638492,4.38
34,resnet_se,0.809228808234475,0.7573693318287555,0.8074260935143288,-5.19
35,resnet_se,0.5735213649073553,0.6592911320975023,0.6738654347126709,8.58
36,resnet_se,0.6436080055366552,0.629496733258997,0.6384929369155341,-1.41
37,resnet_se,0.804076066555132,0.6920975879259246,0.71014438793666,-11.2
38,resnet_se,0.6107468385347113,0.7576460089170842,0.7854661332124635,14.69
39,resnet_se,0.7195890410988979,0.7418284737540539,0.7787770562770563,2.22
40,resnet_se,0.7719809785240639,0.7277953813055886,0.7541722734077326,-4.42
