SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.6451320228142907,0.6850292917614673,0.6850292917614673,0.6656806216424347,0.7386654861156456,0.746357950480858,0.7465167374880421,0.7117413416452507,0.6451320228142907,0.7483812482774976,0.7483812482774976,0.7095085234186559,0.731846696043556,0.7443397499380908,0.7443397499380908,0.7045521953783495
0.6575391229676824,0.679800028511676,0.6799953079651234,0.6661907523314409,0.6927388620532864,0.7118202558453592,0.7113509940031483,0.7066534310233646,0.6575391229676824,0.7140899928740748,0.7135875658510331,0.7089356345663871,0.6017589113698418,0.6650295745404763,0.6648070412207665,0.679719049246543
0.6265777615770554,0.6827456839729363,0.683065859654759,0.6423790757733313,0.7575295945263754,0.7683483740926235,0.768612299523967,0.7188440265681119,0.6265777615770554,0.7721723090486978,0.7724361892025008,0.7114819289586383,0.74152792416523,0.7630348934353629,0.7630348934353629,0.7297333589986259
0.5789251117156082,0.5952085725051847,0.5952085725051847,0.5649820804098616,0.6315437432143266,0.6625283919768666,0.6624742915168862,0.6034888349126653,0.5789251117156082,0.6731034213338254,0.6731034213338254,0.6138345268766495,0.644880024279348,0.6681934037636774,0.6684807818617426,0.544436114143946
0.6861191438105284,0.7074302235401834,0.7074302235401834,0.6905683459337948,0.742181848993215,0.7564854810271706,0.7564854810271706,0.7142846282846558,0.6861191438105284,0.7539316336739956,0.7536151595455429,0.7096466687945713,0.6260448849936281,0.6817278523609586,0.6813796526159738,0.6820502891427715
0.6332902234436153,0.6614891500885778,0.6620545750442791,0.6070593332042935,0.6817639898383496,0.7311942096995934,0.7308808145614134,0.6553599054706833,0.6332902234436153,0.7312626001029385,0.7306335011212219,0.6531867382959805,0.6272456224003949,0.6857951739063589,0.6857053433481157,0.6338766047402542
0.6942438450052247,0.7068184693429218,0.7068184693429218,0.6882942231605789,0.6906841353100988,0.7133433680812897,0.7144236425804387,0.6924668295637394,0.6942438450052247,0.718371042450273,0.718371042450273,0.6948473970835365,0.6141179376920529,0.6483962243565256,0.6483962243565256,0.6495662328446266
0.5115111781290962,0.5110475678088212,0.5110475678088212,0.49341969329944013,0.48017770743379196,0.4858295623423723,0.4858295623423723,0.48559891270970523,0.5115111781290962,0.4856706009553008,0.48590844546760303,0.4970729312115943,0.43700977273991093,0.4570048674322448,0.45683101788787434,0.46254813253469373
0.6169806591365008,0.6381568317354511,0.637684859765761,0.5974002564867621,0.6603064613620356,0.661235474225948,0.6613921484046587,0.6068154505423577,0.6169806591365008,0.6591939616470464,0.659533043332784,0.594666802859618,0.6144059046914216,0.6601736156291692,0.6600276421361913,0.5543732685307151
0.7370681581527144,0.7595981250995656,0.7595981250995656,0.7629466242893834,0.7725525658316725,0.7998310012131685,0.7998310012131685,0.7928944468192791,0.7370681581527144,0.8035875533636261,0.8038230479500218,0.7841505537526771,0.7284835973075601,0.760942942420314,0.760942942420314,0.7705863478725221
