subject,model,mode,f1_incl,f1_excl,buf_n
15,soft,single_DNS,0.763617,0.590848,83
16,SVM,single_DNS,0.713983,0.610167,91
16,SVM_PROBA,single_DNS,0.693552,0.60341,91
16,RESNET_SE,single_DNS,0.773326,0.617519,91
16,soft,single_DNS,0.780246,0.636898,91
17,SVM,single_DNS,0.634839,0.577395,100
17,SVM_PROBA,single_DNS,0.606966,0.565478,100
17,RESNET_SE,single_DNS,0.630121,0.540063,100
17,soft,single_DNS,0.638306,0.558148,100
18,SVM,single_DNS,0.62411,0.533961,86
18,SVM_PROBA,single_DNS,0.610524,0.526265,86
18,RESNET_SE,single_DNS,0.841946,0.6608,86
18,soft,single_DNS,0.790697,0.625577,86
19,SVM,single_DNS,0.577554,0.536167,100
19,SVM_PROBA,single_DNS,0.613764,0.559326,100
19,RESNET_SE,single_DNS,0.762187,0.660007,100
19,soft,single_DNS,0.724256,0.643516,100
20,SVM,single_DNS,0.608871,0.516056,85
20,SVM_PROBA,single_DNS,0.581236,0.496805,85
20,RESNET_SE,single_DNS,0.686576,0.538998,85
20,soft,single_DNS,0.681601,0.52389,85
21,SVM,single_DNS,0.633824,0.538384,96
21,SVM_PROBA,single_DNS,0.606999,0.543733,96
21,RESNET_SE,single_DNS,0.676304,0.570783,96
21,soft,single_DNS,0.78022,0.621097,96
22,SVM,single_DNS,0.592149,0.590968,100
22,SVM_PROBA,single_DNS,0.571145,0.581478,100
22,RESNET_SE,single_DNS,0.622941,0.552391,100
22,soft,single_DNS,0.653775,0.623147,100
23,SVM,single_DNS,0.509725,0.518768,100
23,SVM_PROBA,single_DNS,0.476701,0.486968,100
23,RESNET_SE,single_DNS,0.588597,0.542005,100
23,soft,single_DNS,0.574313,0.563313,100
24,SVM,single_DNS,0.633704,0.528197,78
24,SVM_PROBA,single_DNS,0.583301,0.492254,78
24,RESNET_SE,single_DNS,0.620924,0.521842,78
24,soft,single_DNS,0.732674,0.596336,78
25,SVM,single_DNS,0.653777,0.575803,86
25,SVM_PROBA,single_DNS,0.694508,0.614987,86
25,RESNET_SE,single_DNS,0.798633,0.652719,86
25,soft,single_DNS,0.826463,0.671448,86
26,SVM,single_DNS,0.661815,0.666549,100
26,SVM_PROBA,single_DNS,0.649379,0.655718,100
26,RESNET_SE,single_DNS,0.724139,0.668544,100
26,soft,single_DNS,0.78033,0.749692,100
27,SVM,single_DNS,0.601509,0.457095,93
27,SVM_PROBA,single_DNS,0.648891,0.531982,93
27,RESNET_SE,single_DNS,0.77001,0.581966,93
27,soft,single_DNS,0.765003,0.574462,93
28,SVM,single_DNS,0.618202,0.564955,100
28,SVM_PROBA,single_DNS,0.600232,0.573107,100
28,RESNET_SE,single_DNS,0.729828,0.677763,100
28,soft,single_DNS,0.67973,0.639653,100
29,SVM,single_DNS,0.723957,0.634598,100
29,SVM_PROBA,single_DNS,0.658347,0.592639,100
29,RESNET_SE,single_DNS,0.713483,0.569323,100
29,soft,single_DNS,0.733386,0.581953,100
30,SVM,single_DNS,0.620035,0.541262,91
30,SVM_PROBA,single_DNS,0.636921,0.555157,91
30,RESNET_SE,single_DNS,0.818157,0.648746,91
30,soft,single_DNS,0.805441,0.648998,91
31,SVM,single_DNS,0.541883,0.498033,94
31,SVM_PROBA,single_DNS,0.502878,0.467191,94
31,RESNET_SE,single_DNS,0.614221,0.502526,94
31,soft,single_DNS,0.610283,0.494016,94
32,SVM,single_DNS,0.575983,0.600256,100
32,SVM_PROBA,single_DNS,0.56194,0.600082,100
32,RESNET_SE,single_DNS,0.688179,0.579478,100
32,soft,single_DNS,0.705344,0.642282,100
33,SVM,single_DNS,0.433985,0.337997,95
33,SVM_PROBA,single_DNS,0.513908,0.449729,95
33,RESNET_SE,single_DNS,0.737553,0.567195,95
33,soft,single_DNS,0.750869,0.589121,95
34,SVM,single_DNS,0.714669,0.607855,91
34,SVM_PROBA,single_DNS,0.702899,0.602487,91
34,RESNET_SE,single_DNS,0.7761,0.619646,91
34,soft,single_DNS,0.789289,0.648635,91
35,SVM,single_DNS,0.604156,0.640081,100
35,SVM_PROBA,single_DNS,0.566746,0.597819,100
35,RESNET_SE,single_DNS,0.650723,0.644803,100
35,soft,single_DNS,0.66315,0.666395,100
36,SVM,single_DNS,0.6213,0.582907,94
36,SVM_PROBA,single_DNS,0.618311,0.582444,94
36,RESNET_SE,single_DNS,0.46248,0.41016,94
36,soft,single_DNS,0.498828,0.467125,94
37,SVM,single_DNS,0.41288,0.3084,83
37,SVM_PROBA,single_DNS,0.575732,0.497003,83
37,RESNET_SE,single_DNS,0.790026,0.593769,83
37,soft,single_DNS,0.780328,0.592669,83
38,SVM,single_DNS,0.495736,0.376025,86
38,SVM_PROBA,single_DNS,0.543914,0.439979,86
38,RESNET_SE,single_DNS,0.704157,0.508207,86
38,soft,single_DNS,0.690327,0.504057,86
39,SVM,single_DNS,0.582791,0.476699,88
39,SVM_PROBA,single_DNS,0.660542,0.551606,88
39,RESNET_SE,single_DNS,0.828323,0.643013,88
39,soft,single_DNS,0.836408,0.655328,88
40,SVM,single_DNS,0.322079,0.2278,80
40,SVM_PROBA,single_DNS,0.531746,0.46075,80
40,RESNET_SE,single_DNS,0.76612,0.596593,80
40,soft,single_DNS,0.732457,0.578767,80
1,SVM,single_STDUP,0.297521,0.287452,100
1,SVM_PROBA,single_STDUP,0.314057,0.304545,100
1,RESNET_SE,single_STDUP,0.305203,0.32675,100
1,soft,single_STDUP,0.372425,0.370442,100
2,SVM,single_STDUP,0.377363,0.390338,100
2,SVM_PROBA,single_STDUP,0.389538,0.398318,100
2,RESNET_SE,single_STDUP,0.319009,0.325967,100
2,soft,single_STDUP,0.386712,0.402415,100
3,SVM,single_STDUP,0.281702,0.286804,100
3,SVM_PROBA,single_STDUP,0.272125,0.276494,100
3,RESNET_SE,single_STDUP,0.246721,0.247982,100
3,soft,single_STDUP,0.27428,0.278385,100
4,SVM,single_STDUP,0.307133,0.296408,100
4,SVM_PROBA,single_STDUP,0.308743,0.295589,100
4,RESNET_SE,single_STDUP,0.248466,0.235166,100
4,soft,single_STDUP,0.274823,0.261662,100
5,SVM,single_STDUP,0.416066,0.424399,100
5,SVM_PROBA,single_STDUP,0.402927,0.408219,100
5,RESNET_SE,single_STDUP,0.477202,0.484992,100
5,soft,single_STDUP,0.450179,0.456456,100
6,SVM,single_STDUP,0.409138,0.437672,100
6,SVM_PROBA,single_STDUP,0.422301,0.442728,100
6,RESNET_SE,single_STDUP,0.262707,0.271835,100
6,soft,single_STDUP,0.412473,0.437671,100
7,SVM,single_STDUP,0.313514,0.323253,100
7,SVM_PROBA,single_STDUP,0.336954,0.35236,100
7,RESNET_SE,single_STDUP,0.339409,0.352077,100
7,soft,single_STDUP,0.340771,0.351141,100
8,SVM,single_STDUP,0.473021,0.506341,100
8,SVM_PROBA,single_STDUP,0.475034,0.499364,100
8,RESNET_SE,single_STDUP,0.499878,0.532694,100
8,soft,single_STDUP,0.503011,0.528343,100
9,SVM,single_STDUP,0.430864,0.432505,100
9,SVM_PROBA,single_STDUP,0.446102,0.447629,100
9,RESNET_SE,single_STDUP,0.256452,0.260808,100
9,soft,single_STDUP,0.377384,0.381847,100
10,SVM,single_STDUP,0.298993,0.30324,100
10,SVM_PROBA,single_STDUP,0.328759,0.332278,100
10,RESNET_SE,single_STDUP,0.284964,0.293603,100
10,soft,single_STDUP,0.294974,0.288224,100
11,SVM,single_STDUP,0.477116,0.476479,100
11,SVM_PROBA,single_STDUP,0.503471,0.489903,100
11,RESNET_SE,single_STDUP,0.542537,0.568166,100
11,soft,single_STDUP,0.554196,0.565835,100
12,SVM,single_STDUP,0.484889,0.529437,100
12,SVM_PROBA,single_STDUP,0.479056,0.513723,100
12,RESNET_SE,single_STDUP,0.420613,0.446849,100
12,soft,single_STDUP,0.480981,0.524386,100
13,SVM,single_STDUP,0.39335,0.411234,100
13,SVM_PROBA,single_STDUP,0.42789,0.445273,100
13,RESNET_SE,single_STDUP,0.388888,0.403646,100
13,soft,single_STDUP,0.422513,0.441842,100
14,SVM,single_STDUP,0.395861,0.398634,100
14,SVM_PROBA,single_STDUP,0.383234,0.385415,100
14,RESNET_SE,single_STDUP,0.362394,0.36196,100
14,soft,single_STDUP,0.38084,0.382386,100
15,SVM,single_STDUP,0.388675,0.408645,100
15,SVM_PROBA,single_STDUP,0.419585,0.442233,100
15,RESNET_SE,single_STDUP,0.306096,0.319964,100
15,soft,single_STDUP,0.383826,0.40363,100
16,SVM,single_STDUP,0.414961,0.424893,100
16,SVM_PROBA,single_STDUP,0.399552,0.406052,100
16,RESNET_SE,single_STDUP,0.396605,0.405498,100
16,soft,single_STDUP,0.380715,0.389043,100
17,SVM,single_STDUP,0.294818,0.287417,100
17,SVM_PROBA,single_STDUP,0.314856,0.30593,100
17,RESNET_SE,single_STDUP,0.305215,0.322926,100
17,soft,single_STDUP,0.330201,0.3314,100
18,SVM,single_STDUP,0.409566,0.414568,100
18,SVM_PROBA,single_STDUP,0.419253,0.42411,100
18,RESNET_SE,single_STDUP,0.352401,0.351368,100
18,soft,single_STDUP,0.394715,0.397939,100
19,SVM,single_STDUP,0.362746,0.389274,100
19,SVM_PROBA,single_STDUP,0.365664,0.380647,100
19,RESNET_SE,single_STDUP,0.323178,0.343041,100
19,soft,single_STDUP,0.386939,0.410401,100
20,SVM,single_STDUP,0.258394,0.24906,100
20,SVM_PROBA,single_STDUP,0.274012,0.261783,100
20,RESNET_SE,single_STDUP,0.244538,0.232843,100
20,soft,single_STDUP,0.270992,0.26355,100
21,SVM,single_STDUP,0.242404,0.229741,100
21,SVM_PROBA,single_STDUP,0.241782,0.228011,100
21,RESNET_SE,single_STDUP,0.231649,0.220637,100
21,soft,single_STDUP,0.237378,0.225109,100
22,SVM,single_STDUP,0.386841,0.386549,100
22,SVM_PROBA,single_STDUP,0.412852,0.414138,100
22,RESNET_SE,single_STDUP,0.249871,0.244038,100
22,soft,single_STDUP,0.33789,0.332758,100
23,SVM,single_STDUP,0.241756,0.20883,100
23,SVM_PROBA,single_STDUP,0.259878,0.230303,100
23,RESNET_SE,single_STDUP,0.22345,0.218665,100
23,soft,single_STDUP,0.26198,0.230421,100
24,SVM,single_STDUP,0.288994,0.294024,100
24,SVM_PROBA,single_STDUP,0.32054,0.329854,100
24,RESNET_SE,single_STDUP,0.315656,0.332382,100
24,soft,single_STDUP,0.396128,0.409285,100
25,SVM,single_STDUP,0.270537,0.26497,100
25,SVM_PROBA,single_STDUP,0.293102,0.29472,100
25,RESNET_SE,single_STDUP,0.26995,0.27869,100
25,soft,single_STDUP,0.284085,0.282701,100
26,SVM,single_STDUP,0.317563,0.321099,100
26,SVM_PROBA,single_STDUP,0.336325,0.341449,100
26,RESNET_SE,single_STDUP,0.325191,0.328726,100
26,soft,single_STDUP,0.350215,0.35526,100
27,SVM,single_STDUP,0.329302,0.328239,100
27,SVM_PROBA,single_STDUP,0.336764,0.341866,100
27,RESNET_SE,single_STDUP,0.304051,0.306368,100
27,soft,single_STDUP,0.309888,0.310851,100
28,SVM,single_STDUP,0.350965,0.34705,100
28,SVM_PROBA,single_STDUP,0.394914,0.391476,100
28,RESNET_SE,single_STDUP,0.373567,0.357397,100
28,soft,single_STDUP,0.443885,0.436297,100
29,SVM,single_STDUP,0.522289,0.541692,100
29,SVM_PROBA,single_STDUP,0.547782,0.564572,100
29,RESNET_SE,single_STDUP,0.504186,0.522565,100
29,soft,single_STDUP,0.545858,0.567717,100
30,SVM,single_STDUP,0.290837,0.279995,100
30,SVM_PROBA,single_STDUP,0.311519,0.304955,100
30,RESNET_SE,single_STDUP,0.351194,0.342565,100
30,soft,single_STDUP,0.364597,0.359992,100
31,SVM,single_STDUP,0.295761,0.293374,100
31,SVM_PROBA,single_STDUP,0.308191,0.303727,100
31,RESNET_SE,single_STDUP,0.285621,0.28185,100
31,soft,single_STDUP,0.3524,0.356967,100
32,SVM,single_STDUP,0.338886,0.335786,100
32,SVM_PROBA,single_STDUP,0.377985,0.377091,100
32,RESNET_SE,single_STDUP,0.167238,0.174444,100
32,soft,single_STDUP,0.269625,0.262852,100
33,SVM,single_STDUP,0.321692,0.319923,100
33,SVM_PROBA,single_STDUP,0.31304,0.310725,100
33,RESNET_SE,single_STDUP,0.293573,0.331833,100
33,soft,single_STDUP,0.367333,0.371373,100
34,SVM,single_STDUP,0.344834,0.336745,100
34,SVM_PROBA,single_STDUP,0.342672,0.328065,100
34,RESNET_SE,single_STDUP,0.356654,0.347059,100
34,soft,single_STDUP,0.416888,0.412609,100
35,SVM,single_STDUP,0.247065,0.232976,100
35,SVM_PROBA,single_STDUP,0.26058,0.249224,100
35,RESNET_SE,single_STDUP,0.19413,0.196087,100
35,soft,single_STDUP,0.273691,0.261265,100
36,SVM,single_STDUP,0.385339,0.392293,100
36,SVM_PROBA,single_STDUP,0.389166,0.395651,100
36,RESNET_SE,single_STDUP,0.302631,0.31042,100
36,soft,single_STDUP,0.373747,0.38348,100
37,SVM,single_STDUP,0.307706,0.306094,100
37,SVM_PROBA,single_STDUP,0.324726,0.321179,100
37,RESNET_SE,single_STDUP,0.276008,0.274868,100
37,soft,single_STDUP,0.36489,0.365166,100
38,SVM,single_STDUP,0.308926,0.317892,100
38,SVM_PROBA,single_STDUP,0.322307,0.329491,100
38,RESNET_SE,single_STDUP,0.296818,0.305269,100
38,soft,single_STDUP,0.323979,0.329815,100
39,SVM,single_STDUP,0.260298,0.254693,100
39,SVM_PROBA,single_STDUP,0.284542,0.281708,100
39,RESNET_SE,single_STDUP,0.167166,0.179191,100
39,soft,single_STDUP,0.268213,0.270528,100
40,SVM,single_STDUP,0.308576,0.305062,100
40,SVM_PROBA,single_STDUP,0.319267,0.310901,100
40,RESNET_SE,single_STDUP,0.145585,0.151731,100
40,soft,single_STDUP,0.289975,0.28573,100
1,SVM,balanced25,0.659633,0.663849,100
1,SVM_PROBA,balanced25,0.64172,0.647817,100
1,RESNET_SE,balanced25,0.684181,0.662311,100
1,soft,balanced25,0.67476,0.671015,100
2,SVM,balanced25,0.75673,0.758943,100
2,SVM_PROBA,balanced25,0.699938,0.702357,100
2,RESNET_SE,balanced25,0.782249,0.752899,100
2,soft,balanced25,0.823331,0.793244,100
3,SVM,balanced25,0.792708,0.77121,100
3,SVM_PROBA,balanced25,0.740547,0.727951,100
3,RESNET_SE,balanced25,0.886607,0.884845,100
3,soft,balanced25,0.881728,0.886308,100
4,SVM,balanced25,0.725048,0.742103,100
4,SVM_PROBA,balanced25,0.718824,0.731852,100
4,RESNET_SE,balanced25,0.866778,0.857809,100
4,soft,balanced25,0.852,0.858631,100
5,SVM,balanced25,0.710059,0.73768,100
5,SVM_PROBA,balanced25,0.686664,0.711174,100
5,RESNET_SE,balanced25,0.704484,0.71519,100
5,soft,balanced25,0.735757,0.755223,100
6,SVM,balanced25,0.678944,0.681221,100
6,SVM_PROBA,balanced25,0.622428,0.624618,100
6,RESNET_SE,balanced25,0.767127,0.745583,100
6,soft,balanced25,0.732721,0.720277,100
7,SVM,balanced25,0.744288,0.731624,100
7,SVM_PROBA,balanced25,0.711582,0.697334,100
7,RESNET_SE,balanced25,0.555314,0.531848,100
7,soft,balanced25,0.745158,0.737297,100
8,SVM,balanced25,0.712496,0.744878,100
8,SVM_PROBA,balanced25,0.687573,0.720642,100
8,RESNET_SE,balanced25,0.777324,0.754691,100
8,soft,balanced25,0.822665,0.841669,100
9,SVM,balanced25,0.760153,0.769212,100
9,SVM_PROBA,balanced25,0.719167,0.718718,100
9,RESNET_SE,balanced25,0.819909,0.811539,100
9,soft,balanced25,0.820954,0.821776,100
10,SVM,balanced25,0.648939,0.677629,100
10,SVM_PROBA,balanced25,0.637182,0.66324,100
10,RESNET_SE,balanced25,0.800157,0.803719,100
10,soft,balanced25,0.741036,0.752865,100
11,SVM,balanced25,0.85473,0.86533,100
11,SVM_PROBA,balanced25,0.821592,0.837955,100
11,RESNET_SE,balanced25,0.913297,0.91497,100
11,soft,balanced25,0.931327,0.938714,100
12,SVM,balanced25,0.814786,0.850472,100
12,SVM_PROBA,balanced25,0.796968,0.83469,100
12,RESNET_SE,balanced25,0.914422,0.894776,100
12,soft,balanced25,0.885921,0.874025,100
13,SVM,balanced25,0.842393,0.843996,100
13,SVM_PROBA,balanced25,0.810742,0.807567,100
13,RESNET_SE,balanced25,0.870666,0.852837,100
13,soft,balanced25,0.899288,0.893334,100
14,SVM,balanced25,0.744564,0.755911,100
14,SVM_PROBA,balanced25,0.731225,0.742676,100
14,RESNET_SE,balanced25,0.830217,0.838168,100
14,soft,balanced25,0.810886,0.822767,100
15,SVM,balanced25,0.841205,0.837321,100
15,SVM_PROBA,balanced25,0.816232,0.80926,100
15,RESNET_SE,balanced25,0.879921,0.87802,100
15,soft,balanced25,0.907606,0.898575,100
16,SVM,balanced25,0.811122,0.805942,100
16,SVM_PROBA,balanced25,0.815034,0.806686,100
16,RESNET_SE,balanced25,0.85506,0.840481,100
16,soft,balanced25,0.886795,0.87391,100
17,SVM,balanced25,0.797235,0.791998,100
17,SVM_PROBA,balanced25,0.781694,0.765389,100
17,RESNET_SE,balanced25,0.782445,0.768033,100
17,soft,balanced25,0.806988,0.782923,100
18,SVM,balanced25,0.760215,0.760435,100
18,SVM_PROBA,balanced25,0.750878,0.754477,100
18,RESNET_SE,balanced25,0.857035,0.827284,100
18,soft,balanced25,0.832647,0.810278,100
19,SVM,balanced25,0.755668,0.756765,100
19,SVM_PROBA,balanced25,0.733403,0.737031,100
19,RESNET_SE,balanced25,0.830211,0.81773,100
19,soft,balanced25,0.815975,0.810072,100
20,SVM,balanced25,0.68803,0.672522,100
20,SVM_PROBA,balanced25,0.659559,0.642264,100
20,RESNET_SE,balanced25,0.771379,0.762141,100
20,soft,balanced25,0.737873,0.727986,100
21,SVM,balanced25,0.746957,0.760271,100
21,SVM_PROBA,balanced25,0.719798,0.741471,100
21,RESNET_SE,balanced25,0.829749,0.850219,100
21,soft,balanced25,0.810156,0.821722,100
22,SVM,balanced25,0.705948,0.693626,100
22,SVM_PROBA,balanced25,0.680712,0.666551,100
22,RESNET_SE,balanced25,0.779005,0.77693,100
22,soft,balanced25,0.787656,0.783356,100
23,SVM,balanced25,0.680892,0.687051,100
23,SVM_PROBA,balanced25,0.705277,0.715962,100
23,RESNET_SE,balanced25,0.819532,0.820043,100
23,soft,balanced25,0.8381,0.847006,100
24,SVM,balanced25,0.689619,0.683049,100
24,SVM_PROBA,balanced25,0.650848,0.630639,100
24,RESNET_SE,balanced25,0.833847,0.824237,100
24,soft,balanced25,0.796888,0.78397,100
25,SVM,balanced25,0.777998,0.787528,100
25,SVM_PROBA,balanced25,0.783772,0.800159,100
25,RESNET_SE,balanced25,0.879107,0.878517,100
25,soft,balanced25,0.900789,0.901096,100
26,SVM,balanced25,0.714339,0.719511,100
26,SVM_PROBA,balanced25,0.715805,0.724097,100
26,RESNET_SE,balanced25,0.771616,0.758678,100
26,soft,balanced25,0.778775,0.769072,100
27,SVM,balanced25,0.818674,0.814159,100
27,SVM_PROBA,balanced25,0.804497,0.804874,100
27,RESNET_SE,balanced25,0.904223,0.912786,100
27,soft,balanced25,0.910784,0.919457,100
28,SVM,balanced25,0.751747,0.747482,100
28,SVM_PROBA,balanced25,0.7244,0.720321,100
28,RESNET_SE,balanced25,0.8021,0.783276,100
28,soft,balanced25,0.834211,0.826049,100
29,SVM,balanced25,0.764198,0.776279,100
29,SVM_PROBA,balanced25,0.749214,0.760967,100
29,RESNET_SE,balanced25,0.86671,0.881266,100
29,soft,balanced25,0.833444,0.843615,100
30,SVM,balanced25,0.767136,0.753113,100
30,SVM_PROBA,balanced25,0.774798,0.761111,100
30,RESNET_SE,balanced25,0.857846,0.849755,100
30,soft,balanced25,0.861697,0.851754,100
31,SVM,balanced25,0.66506,0.665375,100
31,SVM_PROBA,balanced25,0.659838,0.660669,100
31,RESNET_SE,balanced25,0.723725,0.709947,100
31,soft,balanced25,0.738747,0.746334,100
32,SVM,balanced25,0.757544,0.75908,100
32,SVM_PROBA,balanced25,0.752512,0.757034,100
32,RESNET_SE,balanced25,0.807042,0.810654,100
32,soft,balanced25,0.855624,0.854999,100
33,SVM,balanced25,0.737319,0.754496,100
33,SVM_PROBA,balanced25,0.719132,0.750678,100
33,RESNET_SE,balanced25,0.824435,0.826204,100
33,soft,balanced25,0.820736,0.831728,100
34,SVM,balanced25,0.830313,0.83016,100
34,SVM_PROBA,balanced25,0.815179,0.82861,100
34,RESNET_SE,balanced25,0.870278,0.885442,100
34,soft,balanced25,0.878538,0.893301,100
35,SVM,balanced25,0.73032,0.71131,100
35,SVM_PROBA,balanced25,0.713699,0.703968,100
35,RESNET_SE,balanced25,0.704784,0.68434,100
35,soft,balanced25,0.759687,0.741046,100
36,SVM,balanced25,0.646134,0.640307,100
36,SVM_PROBA,balanced25,0.629133,0.629895,100
36,RESNET_SE,balanced25,0.543264,0.53231,100
36,soft,balanced25,0.6944,0.689034,100
37,SVM,balanced25,0.720897,0.749921,100
37,SVM_PROBA,balanced25,0.698838,0.720333,100
37,RESNET_SE,balanced25,0.777814,0.776607,100
37,soft,balanced25,0.792663,0.80933,100
38,SVM,balanced25,0.752104,0.745201,100
38,SVM_PROBA,balanced25,0.719168,0.718501,100
38,RESNET_SE,balanced25,0.595107,0.547567,100
38,soft,balanced25,0.849475,0.827775,100
39,SVM,balanced25,0.6784,0.67218,100
39,SVM_PROBA,balanced25,0.659266,0.661513,100
39,RESNET_SE,balanced25,0.842944,0.829217,100
39,soft,balanced25,0.823326,0.821719,100
40,SVM,balanced25,0.706284,0.717861,100
40,SVM_PROBA,balanced25,0.689174,0.701343,100
40,RESNET_SE,balanced25,0.771153,0.783697,100
40,soft,balanced25,0.765919,0.775506,100
