subject,model,mode,f1_incl,f1_excl,buf_n
28,RESNET_SE,mixed100,0.813541,0.794462,100
28,soft,mixed100,0.843629,0.838667,100
29,SVM,mixed100,0.768265,0.78278,100
29,SVM_PROBA,mixed100,0.742643,0.759822,100
29,RESNET_SE,mixed100,0.866963,0.879344,100
29,soft,mixed100,0.832944,0.84198,100
30,SVM,mixed100,0.760777,0.736634,100
30,SVM_PROBA,mixed100,0.764977,0.742348,100
30,RESNET_SE,mixed100,0.849105,0.834668,100
30,soft,mixed100,0.851037,0.838375,100
31,SVM,mixed100,0.668762,0.667371,100
31,SVM_PROBA,mixed100,0.661555,0.663305,100
31,RESNET_SE,mixed100,0.738733,0.732934,100
31,soft,mixed100,0.745289,0.759008,100
32,SVM,mixed100,0.766478,0.772922,100
32,SVM_PROBA,mixed100,0.744773,0.765466,100
32,RESNET_SE,mixed100,0.821213,0.831578,100
32,soft,mixed100,0.844897,0.849255,100
33,SVM,mixed100,0.74278,0.759876,100
33,SVM_PROBA,mixed100,0.726749,0.752025,100
33,RESNET_SE,mixed100,0.823275,0.822245,100
33,soft,mixed100,0.833551,0.837366,100
34,SVM,mixed100,0.833158,0.842702,100
34,SVM_PROBA,mixed100,0.819338,0.82823,100
34,RESNET_SE,mixed100,0.872343,0.890705,100
34,soft,mixed100,0.893315,0.90619,100
35,SVM,mixed100,0.726082,0.708203,100
35,SVM_PROBA,mixed100,0.716291,0.703168,100
35,RESNET_SE,mixed100,0.715355,0.694953,100
35,soft,mixed100,0.762611,0.745435,100
36,SVM,mixed100,0.653901,0.651248,100
36,SVM_PROBA,mixed100,0.645228,0.647893,100
36,RESNET_SE,mixed100,0.528444,0.521392,100
36,soft,mixed100,0.696441,0.695505,100
37,SVM,mixed100,0.727505,0.750952,100
37,SVM_PROBA,mixed100,0.719264,0.753535,100
37,RESNET_SE,mixed100,0.788912,0.791685,100
37,soft,mixed100,0.798923,0.816605,100
38,SVM,mixed100,0.75697,0.741722,100
38,SVM_PROBA,mixed100,0.748943,0.738802,100
38,RESNET_SE,mixed100,0.654019,0.603295,100
38,soft,mixed100,0.852596,0.835099,100
39,SVM,mixed100,0.6787,0.678068,100
39,SVM_PROBA,mixed100,0.687307,0.691542,100
39,RESNET_SE,mixed100,0.848601,0.843509,100
39,soft,mixed100,0.821335,0.830942,100
40,SVM,mixed100,0.705373,0.719942,100
40,SVM_PROBA,mixed100,0.690895,0.705473,100
40,RESNET_SE,mixed100,0.770985,0.784173,100
40,soft,mixed100,0.766796,0.782647,100
1,SVM,single_WAK,0.434233,0.33402,95
1,SVM_PROBA,single_WAK,0.361824,0.380348,95
1,RESNET_SE,single_WAK,0.436767,0.303549,95
1,soft,single_WAK,0.450208,0.335326,95
2,SVM,single_WAK,0.546898,0.542805,63
2,SVM_PROBA,single_WAK,0.515619,0.557006,63
2,RESNET_SE,single_WAK,0.55781,0.403927,63
2,soft,single_WAK,0.568929,0.432192,63
3,SVM,single_WAK,0.644141,0.688124,66
3,SVM_PROBA,single_WAK,0.587414,0.641728,66
3,RESNET_SE,single_WAK,0.729012,0.562665,66
3,soft,single_WAK,0.745673,0.80104,66
4,SVM,single_WAK,0.536009,0.474059,72
4,SVM_PROBA,single_WAK,0.56362,0.498378,72
4,RESNET_SE,single_WAK,0.708718,0.595187,72
4,soft,single_WAK,0.672441,0.571978,72
5,SVM,single_WAK,0.505577,0.427838,84
5,SVM_PROBA,single_WAK,0.506877,0.44506,84
5,RESNET_SE,single_WAK,0.675299,0.538823,84
5,soft,single_WAK,0.636359,0.515766,84
6,SVM,single_WAK,0.579697,0.478025,79
6,SVM_PROBA,single_WAK,0.556609,0.461914,79
6,RESNET_SE,single_WAK,0.717351,0.546563,79
6,soft,single_WAK,0.714877,0.557638,79
7,SVM,single_WAK,0.372462,0.407841,75
7,SVM_PROBA,single_WAK,0.370347,0.425973,75
7,RESNET_SE,single_WAK,0.400192,0.32325,75
7,soft,single_WAK,0.454026,0.404886,75
8,SVM,single_WAK,0.588892,0.52275,70
8,SVM_PROBA,single_WAK,0.575878,0.526025,70
8,RESNET_SE,single_WAK,0.693173,0.586374,70
8,soft,single_WAK,0.669599,0.580512,70
9,SVM,single_WAK,0.367072,0.291815,87
