subject,K0,K5,K10,K20,lift_K5,lift_K10,lift_K20
1,0.5747420300391387,0.6216834425942229,0.6965216961625007,0.7229103222046771,0.046941412555084217,0.121779666123362,0.1481682921655384
2,0.835295344915694,0.7227842265899873,0.8140116374019462,0.8636574627063759,-0.1125111183257067,-0.021283707513747863,0.028362117790681873
3,0.7487005734857997,0.5598164130479006,0.6485565211049169,0.6225755582026392,-0.18888416043789902,-0.10014405238088275,-0.12612501528316045
4,0.7650011890431657,0.6876868413131162,0.7661272428249404,0.9265630427768642,-0.07731434773004953,0.0011260537817746608,0.16156185373369847
5,0.5690842543566916,0.3641260516607313,0.4911652493649588,0.5187789893885191,-0.20495820269596032,-0.07791900499173282,-0.05030526496817256
6,0.6806700477317819,0.539894454024274,0.7385174357691168,0.7778909513147199,-0.1407755937075078,0.05784738803733491,0.097220903582938
7,0.6747411798727588,0.6476682958182672,0.7954213961735759,0.8178317072767431,-0.027072884054491597,0.12068021630081704,0.1430905274039843
8,0.6989214289424668,0.6530967734213396,0.7363864239083531,0.8665398284599481,-0.04582465552112713,0.03746499496588629,0.16761839951748136
9,0.7603494891879646,0.5354082783345055,0.727230531475521,0.7900396654050801,-0.22494121085345908,-0.033118957712443664,0.02969017621711545
10,0.7779792888815446,0.6401236115866837,0.7702096903018236,0.8313011279851592,-0.1378556772948608,-0.007769598579720927,0.053321839103614654
11,0.8370084764739798,0.5651060531414298,0.8046858414505473,0.7833692759029356,-0.27190242333255,-0.03232263502343247,-0.05363920057104421
12,0.7824565383860392,0.5915117105402665,0.7071573252061056,0.7120663098684397,-0.1909448278457727,-0.0752992131799336,-0.07039022851759957
13,0.8236744853685173,0.704940795959173,0.7340724119596219,0.723636941997468,-0.11873368940934426,-0.08960207340889537,-0.10003754337104931
14,0.7587116414368473,0.6209548159842763,0.6628073217443056,0.7059292556131774,-0.13775682545257106,-0.09590431969254176,-0.0527823858236699
15,0.86444701136299,0.7483270676691729,0.7994655888208386,0.8462008894015663,-0.11611994369381706,-0.06498142254215133,-0.01824612196142361
16,0.7706564478803366,0.7092837455108083,0.8492015970109048,0.8843476872542287,-0.0613727023695283,0.0785451491305682,0.11369123937389214
17,0.7709425783011874,0.6700880950447342,0.7750205689389837,0.7386725625651727,-0.10085448325645319,0.004077990637796347,-0.032270015736014734
18,0.7211907343611385,0.6885582015516383,0.7667293277907089,0.7843312551645885,-0.03263253280950018,0.04553859342957045,0.06314052080345
19,0.7846256160394265,0.5920134443021767,0.7437815695880212,0.7894929007251414,-0.19261217173724976,-0.04084404645140527,0.0048672846857149565
20,0.7581736837564927,0.5538053369674029,0.6719924616425235,0.7040622327160253,-0.20436834678908988,-0.08618122211396928,-0.05411145104046744
21,0.7562515769765836,0.7204076438403706,0.817433424172882,0.8073221941263251,-0.035843933136213035,0.06118184719629838,0.05107061714974148
22,0.7786326295936863,0.5751205239143188,0.6800665480801757,0.7578869018505596,-0.2035121056793675,-0.09856608151351054,-0.020745727743126663
23,0.7139829608502845,0.5573740656949355,0.620397740525869,0.7418787755921787,-0.15660889515534893,-0.09358522032441541,0.027895814741894287
24,0.6615682332757575,0.6100835234688715,0.8519983244515996,0.8863464668886423,-0.05148470980688602,0.1904300911758421,0.22477823361288474
25,0.7356718910827496,0.64579206221558,0.671752340525281,0.7092503296555916,-0.0898798288671695,-0.06391955055746856,-0.026421561427157902
26,0.6724640331590557,0.6673353971415468,0.7292221177140313,0.6956995326398312,-0.005128636017508903,0.05675808455497566,0.023235499480775523
27,0.8354472881386895,0.6328069879410524,0.7405179607203654,0.8708684414776677,-0.20264030019763712,-0.09492932741832416,0.03542115333897822
28,0.7671493496276652,0.5385866255884484,0.7279745651183709,0.65850700758211,-0.22856272403921685,-0.03917478450929435,-0.10864234204555523
29,0.7591318161298026,0.5717497311739677,0.7197368980325414,0.6912349416942858,-0.18738208495583497,-0.039394918097261256,-0.06789687443551684
30,0.8207075059845783,0.7987001608149351,0.7630158862559743,0.8056958432963794,-0.0220073451696432,-0.05769161972860404,-0.015011662688198868
31,0.6843152860973872,0.5548203556769354,0.627949565006746,0.6546508580745444,-0.1294949304204518,-0.056365721090641197,-0.02966442802284286
32,0.6730002800906475,0.5885756236142062,0.6710458579952169,0.6849507557444343,-0.08442465647644126,-0.001954422095430619,0.011950475653786818
33,0.8965168780741584,0.8538787279384557,0.9069299636568684,0.9439782690422798,-0.04263815013570271,0.010413085582710035,0.04746139096812141
34,0.8337491016811106,0.7588703078648101,0.8483305152703314,0.8204770041097023,-0.07487879381630047,0.014581413589220826,-0.013272097571408348
35,0.6260874296383622,0.6056865050739485,0.6379921991769092,0.6470098905817941,-0.02040092456441367,0.011904769538547022,0.020922460943431975
36,0.6616060492597081,0.6503102384643112,0.7106774956044677,0.7638170967620764,-0.011295810795396877,0.04907144634475957,0.10221104750236831
37,0.8580046799898811,0.668466231336145,0.8240464651963304,0.8206939567932354,-0.18953844865373604,-0.033958214793550656,-0.037310723196645634
38,0.736400866678512,0.6615251613086219,0.6304265723265063,0.6218136522269396,-0.07487570536989008,-0.10597429435200567,-0.11458721445157238
39,0.7751649848887119,0.6149472284462831,0.8370366765235351,0.855574598149921,-0.16021775644242875,0.0618716916348232,0.0804096132612091
40,0.7609577420478422,0.7008257832059656,0.7872614998554863,0.8108071709046646,-0.06013195884187661,0.026303757807644157,0.04984942885682242
