norm_mode,model,f1_macro_mean,f1_macro_sd,bal_acc_mean,bal_acc_sd,acc_mean,n_subjects
none,SVM,0.5519929616978445,0.0908618147638614,0.5920045157602278,0.0788865163446796,0.6630948757627084,40
none,RF,0.7220297925350562,0.0814194408457033,0.7262176176191184,0.0781303622493296,0.8176450496307854,40
global,SVM,0.7080048834783753,0.0684607708945004,0.7250207461465774,0.0690302778924316,0.7985138745513343,40
global,RF,0.7218660673529346,0.0796049007205721,0.7257960532828995,0.0765960443361868,0.8172104972227838,40
per_subject,SVM,0.776700141407124,0.0547264767402714,0.790147162724881,0.0530586394910068,0.851570849590437,40
per_subject,RF,0.7732421386023015,0.0598931308822712,0.7742588533234273,0.0585992983071127,0.8522122077864218,40
robust,SVM,0.7123814375722435,0.0747058483505192,0.7285035459522562,0.0711620915699342,0.8018018824455051,40
robust,RF,0.7213408449051486,0.0796477469159341,0.7252524851007445,0.0767558761879887,0.8167793303813372,40
