aug_mode,f1_mean,f1_sd,n_subjects,bal_acc_mean,bal_acc_sd
No Aug,0.7537097920607884,0.07525546258463091,40,0.7695889989711829,0.07251484685162089
Gaussian,0.759930901626575,0.07086860247736931,40,0.7729291857170982,0.06983769594661185
Chan. Drop,0.7567377007861659,0.0730180645549209,40,0.7663736563512481,0.07151388119892724
Time Mask,0.750832722523479,0.08315734132103413,40,0.7649646799296776,0.08172970314759576
Combined,0.7492207960042194,0.07277721209062346,40,0.7576168344134941,0.0688172479054237
