norm_mode,f1_mean,global_f1,delta_f1,interpretation
none,0.6448962487213641,0.6815871874241448,-0.03669093870278073,Degradation
per_subject,0.7537097920607884,0.6815871874241448,0.07212260463664355,Improvement
robust,0.6754283027768195,0.6815871874241448,-0.00615888464732528,Degradation
