model,sd_paradigm,f1_sd,f1_sd_std,f1_loso,f1_loso_std,delta_f1,delta_f1_std,n_subjects
RF,per_subject_5fold,0.8429911687952542,0.0465856686472202,0.7732421386023015,0.0598931308822713,0.0697490301929526,0.0576023491046246,40
SVM,per_subject_5fold,0.8740058424400265,0.0298925016855549,0.776700141407124,0.0547264767402713,0.0973057010329025,0.0508420318216109,40
CNN,per_subject_5fold,0.904305,0.0634230603940206,0.7537097920607884,0.0752554625846309,0.1505952079392116,0.0784689514922008,40
