model,delta_f1,delta_balacc,delta_acc,interpretation
RF,0.000987619785761451,8.058667403276765e-06,0.000265762688425375,No improvement
SVM,-0.02361727971381422,-0.023361781350849098,-0.017117542980801703,Drop
