model,f1_sd_mean,f1_sd_sd,f1_loso_mean,f1_loso_sd,delta_f1_mean,delta_f1_sd,bal_acc_sd_mean,bal_acc_sd_sd,bal_acc_loso_mean,bal_acc_loso_sd,delta_bal_acc_mean,delta_bal_acc_sd
RF,0.8381831899551464,0.04723215127212368,0.7119429757912357,0.08037806582027449,0.12624021416391087,0.07406602796671719,0.8338660828810978,0.048175032995544396,0.7166426283345914,0.07625972669851892,0.11722345454650643,0.07148357206800357
SVM,0.8602526958295391,0.039911844284774234,0.7034769343774288,0.057287538489029545,0.15677576145211022,0.055163588864593514,0.8671977591278551,0.03656569542954526,0.7236548317795231,0.05370814764248146,0.1435429273483321,0.055198027328762556
CNN,0.9043049999999999,0.06342306039402064,0.6815871874241447,0.10285826341829635,0.22271781257585527,0.11280879411414886,0.90133,0.06568582253463286,0.7059876316558624,0.08374652754573414,0.19534236834413765,0.09935662665833271
