class,RF_f1,RF_precision,RF_recall,SVM_f1,SVM_precision,SVM_recall,CNN_f1,CNN_precision,CNN_recall
DNS,0.5827258124304955,0.5859840954274353,0.5795035635291227,0.5851370851370851,0.5728749705674594,0.5979356107151634,0.5483135824977211,0.5111536010197578,0.5913000737281887
STDUP,0.939816686885025,0.9302868579052702,0.9495437831948796,0.9365798812409964,0.9675499092558985,0.907530981887512,0.9030677460587985,0.9435376168571005,0.8659267329429389
UPS,0.6924272707084167,0.6997307001795332,0.6852747252747253,0.6625672559569562,0.6620583717357911,0.6630769230769231,0.6776393134258171,0.7285136501516684,0.6334065934065934
WAK,0.6480824463591822,0.6666666666666666,0.6305062458908612,0.6387665198237885,0.5772292993630573,0.7149901380670611,0.5938189845474614,0.5116500237755587,0.7074293228139382
