model,f1_sd_mean,f1_sd_std,f1_loso_mean,f1_loso_std,delta_f1_mean,delta_f1_std,n
CNN,0.904305,0.0634230603940206,0.7537097920607884,0.0752554625846309,0.1505952079392116,0.0784689514922008,40
RF,0.8429911687952542,0.0465856686472202,0.7732421386023015,0.0598931308822713,0.0697490301929526,0.0576023491046246,40
SVM,0.8740058424400265,0.0298925016855549,0.776700141407124,0.0547264767402713,0.0973057010329025,0.0508420318216109,40
ResNet-SE,0.5733175134533328,0.1379005969129411,0.7822033495580412,0.08081147822935156,-0.2088858361047083,0.1567858565418894,40
