feature_set,n_features,model,f1_mean,f1_sd,f1_median,n_subjects
Combined-81,81,RF,0.8478123220433996,0.04676358523686559,0.8417107317910151,40
Freq-72,72,RF,0.84484106414358,0.04621937200673641,0.8407806582709019,40
Base-36,36,RF,0.8393470745911884,0.04612096718838812,0.8333233434918514,40
Extended-54,54,RF,0.8389939086953045,0.04743678118862979,0.8419441370888345,40
Freq-72,72,SVM,0.8740058424400265,0.02989250168555496,0.8735546381574142,40
Combined-81,81,SVM,0.8726180472585909,0.030694462908633174,0.8740823586585642,40
Base-36,36,SVM,0.8602526958295391,0.03991184428477425,0.8686612249639036,40
Extended-54,54,SVM,0.8421751355036132,0.03815393721019381,0.844661084124813,40
