Model,Accuracy_mean,Accuracy_sd,Accuracy_n,BalancedAcc_mean,BalancedAcc_sd,BalancedAcc_n,MacroF1_mean,MacroF1_sd,MacroF1_n
CNN (env+zscore),0.9355775000000002,0.04354982108650581,40,0.90133,0.06568582253463286,40,0.9043049999999999,0.06342306039402064,40
SVM,0.9196303068571157,0.022204176645009874,40,0.8756310810129664,0.028778400570159277,40,0.8740058424400265,0.02989250168555495,40
RF,0.8985083369868402,0.03474314765395651,40,0.8383739038030736,0.04778439518276431,40,0.842991168795254,0.04658566864722029,40
LDA,0.7791384095501643,0.05579140979389618,40,0.6685981877014948,0.06315437305466133,40,0.6613159373192902,0.0609386282693176,40
