norm_mode,f1_mean,f1_sd,bal_acc_mean,bal_acc_sd,n_subjects
none,0.6448962487213641,0.0910570198650287,0.6592311586468543,0.079956217563736,40
global,0.6815871874241448,0.1028582634182963,0.7059876316558624,0.0837465275457341,40
per_subject,0.7537097920607884,0.0752554625846309,0.7695889989711829,0.0725148468516208,40
robust,0.6754283027768195,0.1037540074172228,0.700333802904588,0.085480792082112,40
