paradigm,model,base_f1,freq_f1,delta_f1,delta_balacc,delta_acc,interpretation
SD,SVM,0.8602526958295391,0.8733949177272686,0.013142221897729511,0.007376818804110563,0.01039470401606013,Improvement
SD,RF,0.8393470745911884,0.8434481111371748,0.00410103654598637,0.0007756350759574593,0.002037110859878122,No change
LOSO,SVM,0.7034769343774288,0.7080048834783753,0.00452794910094656,0.001365914367054355,0.003626420590757684,No change
LOSO,RF,0.7119429757912357,0.7218660673529346,0.009923091561698905,0.009153424948308175,0.007706149679609031,Improvement
