aug_mode,f1_mean,f1_sd,delta_f1,bal_acc_mean,bal_acc_sd,delta_bal_acc,n_subjects
No Aug,0.7537097920607884,0.07525546258463091,0.0,0.7695889989711829,0.07251484685162089,0.0,40
Gaussian,0.759930901626575,0.07086860247736931,0.006221109565786587,0.7729291857170982,0.06983769594661185,0.0033401867459152967,40
Chan. Drop,0.7567377007861659,0.0730180645549209,0.003027908725377504,0.7663736563512481,0.07151388119892724,-0.0032153426199348356,40
Time Mask,0.750832722523479,0.08315734132103413,-0.0028770695373093735,0.7649646799296776,0.08172970314759576,-0.004624319041505287,40
Combined,0.7492207960042194,0.07277721209062346,-0.004488996056568939,0.7576168344134941,0.0688172479054237,-0.011972164557688791,40
