model,norm_mode,f1_macro,global_f1,delta_f1,interpretation
SVM,none,0.5519929616978445,0.7080048834783753,-0.1560119217805308,Degradation
SVM,per_subject,0.776700141407124,0.7080048834783753,0.06869525792874864,Improvement
SVM,robust,0.7123814375722435,0.7080048834783753,0.004376554093868168,No change
RF,none,0.7220297925350562,0.7218660673529346,0.00016372518212159903,No change
RF,per_subject,0.7732421386023015,0.7218660673529346,0.05137607124936694,Improvement
RF,robust,0.7213408449051486,0.7218660673529346,-0.0005252224477859668,No change
